system,N,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,1000,0.05,HOPE,0.1,2.1,1.0,1,0.6627082048118446,0.736059829352575,0.7391050867419845,-0.031224967334094283,-25.36738937931751,-10.543767632392683
LFR,1000,0.05,HOPE,0.1,2.1,1.0,1,0.6623997532387416,0.7300655388797261,0.7415454025879851,0.10932504762250439,-24.866848924427018,-8.546107280357607
LFR,1000,0.05,HOPE,0.1,2.1,1.0,1,0.6523750771128933,0.7051385012494583,0.6845715298402443,-0.010887455640832013,-15.293443418393935,-10.771685620370713
LFR,1000,0.05,HOPE,0.1,2.1,1.0,1,0.674892041949414,0.7438079417271772,0.7269309775221307,-0.013127008513599438,-21.728968838447734,-11.159825401030131
LFR,1000,0.10,HOPE,0.1,2.1,1.0,1,0.7193553638287482,0.7908055979843356,0.7976139208429216,0.04284254617894078,-18.161035266143344,-8.219819036625578
LFR,1000,0.10,HOPE,0.1,2.1,1.0,1,0.7145880820579615,0.7995280898209232,0.7914450369490302,0.005166218107972538,-19.11062499092356,-8.728415880741219
LFR,1000,0.10,HOPE,0.1,2.1,1.0,1,0.7067730380983394,0.7757797874082073,0.7750850606811204,0.11649053666216261,-15.395998710045996,-10.376746364079782
LFR,1000,0.10,HOPE,0.1,2.1,1.0,1,0.7007489417127971,0.7808364719055374,0.7784935693457422,0.07941188933264583,-16.234840864027483,-10.082143596342926
LFR,1000,0.15,HOPE,0.1,2.1,1.0,1,0.7502154800896397,0.8286500085939472,0.8327652932863788,-0.08105050965980776,-18.33729063746469,-8.067987573605087
LFR,1000,0.15,HOPE,0.1,2.1,1.0,1,0.753448275862069,0.8344635565008333,0.8236734828184511,0.028287728842468086,-16.92244623421157,-7.2153240819834465
LFR,1000,0.15,HOPE,0.1,2.1,1.0,1,0.7522413793103448,0.8210647312226611,0.8143382514958458,0.09642999914813638,-14.228584629131584,-9.806163534733672
LFR,1000,0.15,HOPE,0.1,2.1,1.0,1,0.7282758620689656,0.8069318438682335,0.801997275338614,0.03236067211805572,-13.560574491134382,-8.53297472913595
LFR,1000,0.20,HOPE,0.1,2.1,1.0,1,0.7841054751876946,0.8680811328032997,0.8772565309803995,-0.033086420804115634,-21.11208340195137,-7.085487146969422
LFR,1000,0.20,HOPE,0.1,2.1,1.0,1,0.7692307692307693,0.8595021717075965,0.8616259331887508,0.19693011693307552,-17.53855059198282,-6.5386375068730915
LFR,1000,0.20,HOPE,0.1,2.1,1.0,1,0.7778795092473906,0.8542906670186157,0.8496495261988106,0.07737652976775475,-14.743424499897648,-8.680874032695463
LFR,1000,0.20,HOPE,0.1,2.1,1.0,1,0.756043956043956,0.8369256262662856,0.8367871883964937,0.03463858207301415,-13.274428503322982,-8.147652090941184
LFR,1000,0.25,HOPE,0.1,2.1,1.0,1,0.7950771635084978,0.8823138005568583,0.8882785673589711,0.08178704622869896,-19.47695291482486,-6.790311868212383
LFR,1000,0.25,HOPE,0.1,2.1,1.0,1,0.7717858538491599,0.8670642556003905,0.8690600406670542,0.1329642744075979,-15.392434973227367,-6.998496041000551
LFR,1000,0.25,HOPE,0.1,2.1,1.0,1,0.7927329556554015,0.8791810575246595,0.8847899580735954,0.17498260226313306,-14.177267373832905,-8.264730159904843
LFR,1000,0.25,HOPE,0.1,2.1,1.0,1,0.7870261821023837,0.8701698913076179,0.8722926786651982,0.02978781571105604,-14.041870745163047,-7.37717980531152
LFR,1000,0.30,HOPE,0.1,2.1,1.0,1,0.8017584257902449,0.8941666614080588,0.899518789804853,0.08583129825941829,-17.463550668099842,-6.401633159487391
LFR,1000,0.30,HOPE,0.1,2.1,1.0,1,0.783964831484195,0.8775743979851799,0.8805497434343916,0.15086454187064086,-14.748442114362497,-6.418417808385667
LFR,1000,0.30,HOPE,0.1,2.1,1.0,1,0.7979903705254344,0.8872847781022928,0.8930828790033313,0.08422145423712206,-13.944798912036925,-7.272365778678182
LFR,1000,0.30,HOPE,0.1,2.1,1.0,1,0.7985762144053601,0.8893000894513202,0.8900030683547371,-0.061310016307914016,-15.345573473628734,-7.351470140500607
LFR,1000,0.35,HOPE,0.1,2.1,1.0,1,0.8218714768883878,0.9057906910816614,0.9095223507222803,-0.010961435856098425,-16.25309644402745,-5.984734141946081
LFR,1000,0.35,HOPE,0.1,2.1,1.0,1,0.7948139797068771,0.8884131535598804,0.8897462527413347,0.07921668599552827,-13.991055258546686,-6.061648300534725
LFR,1000,0.35,HOPE,0.1,2.1,1.0,1,0.8004509582863585,0.8908515723249975,0.8983317790938676,0.07516373216394881,-13.032643427127327,-6.712897347707957
LFR,1000,0.35,HOPE,0.1,2.1,1.0,1,0.8164599774520857,0.9082196633685191,0.9104685714043708,-0.045831471902383826,-16.97904713772119,-7.200592047599061
LFR,1000,0.40,HOPE,0.1,2.1,1.0,1,0.826416015625,0.9164380827994544,0.9206212416542707,0.09391206985534023,-15.914764141343406,-5.885994740485385
LFR,1000,0.40,HOPE,0.1,2.1,1.0,1,0.7929181929181929,0.8905978889617746,0.8909357055542824,0.10355275827278736,-13.105748744890947,-5.841785717972771
LFR,1000,0.40,HOPE,0.1,2.1,1.0,1,0.8073260073260073,0.8981144749340093,0.9036159634182542,-0.011008193854180719,-13.01020589135998,-6.333824803662728
LFR,1000,0.40,HOPE,0.1,2.1,1.0,1,0.8249938979741274,0.9190394418771353,0.9206520251010832,-0.06417910484285318,-16.528055181809297,-6.735407735609083
LFR,1000,0.45,HOPE,0.1,2.1,1.0,1,0.8340436867341502,0.921857792280042,0.9256772267282103,0.07041604890642213,-15.132047303198858,-5.845115181271905
LFR,1000,0.45,HOPE,0.1,2.1,1.0,1,0.799626965094591,0.8960515681096974,0.8945226962181706,0.04770477864901542,-12.682725994470951,-5.448422529462424
LFR,1000,0.45,HOPE,0.1,2.1,1.0,1,0.8105515587529976,0.9065658501952432,0.9116714626820964,-0.09552858574297421,-12.873222820307397,-6.034352012928045
LFR,1000,0.45,HOPE,0.1,2.1,1.0,1,0.826098535286285,0.9207473689406487,0.9238169856207562,-0.031161688415173444,-15.571358507092539,-6.468625173009197
LFR,1000,0.50,HOPE,0.1,2.1,1.0,1,0.8347494872546147,0.9257034856129955,0.9276085415013469,0.07756636220590456,-14.855256158898877,-5.5097963101748055
LFR,1000,0.50,HOPE,0.1,2.1,1.0,1,0.8117854001759015,0.9028364327450799,0.9022406386619279,-0.027868449610057446,-12.996829918835585,-5.117298527139867
LFR,1000,0.50,HOPE,0.1,2.1,1.0,1,0.8153034300791556,0.913512366917773,0.9195949276878732,-0.08770452548646272,-12.792617514973777,-5.543297270883963
LFR,1000,0.50,HOPE,0.1,2.1,1.0,1,0.8294755347201875,0.9269386588978147,0.9290314950657605,-0.09882570863299317,-15.082660578977807,-6.026947599476631
LFR,1000,0.55,HOPE,0.1,2.1,1.0,1,0.8436991208075545,0.9341429442716344,0.936472853731989,0.050009464163414084,-15.78787150252955,-5.156936153259544
LFR,1000,0.55,HOPE,0.1,2.1,1.0,1,0.8100358422939068,0.9065233381634223,0.9049448558581803,-0.07849001815323771,-13.04861433546185,-4.858520091162067
LFR,1000,0.55,HOPE,0.1,2.1,1.0,1,0.8243727598566308,0.9201941656863536,0.9260661424198677,-0.02496664737757654,-13.710553992923892,-5.2600256498742075
LFR,1000,0.55,HOPE,0.1,2.1,1.0,1,0.8336046890263757,0.9315023581704669,0.9331372131883025,-0.12238131749700219,-15.025924326047505,-5.460506157603138
LFR,1000,0.60,HOPE,0.1,2.1,1.0,1,0.8579274990845844,0.941101734002364,0.9428717845985396,0.06281947558849808,-15.899821482783791,-4.941194897855507
LFR,1000,0.60,HOPE,0.1,2.1,1.0,1,0.8285086112128985,0.9189667933146208,0.9173357798449127,-0.10954967045218547,-14.145744188028603,-4.726431830533826
