N,embedding,total_time
100,N2V,3.7698822021484375
166,N2V,7.9889490604400635
278,N2V,16.948359727859497
464,N2V,34.13966369628906
774,N2V,63.858537673950195
1291,N2V,122.8127510547638
2154,N2V,226.67077493667603
3593,N2V,389.3143434524536
5994,N2V,714.4266128540039
10000,N2V,1418.9383170604706
