system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
sacchpomb,1-2,0.05,HOPE,0.8002270147559591,0.5556429026673931,0.2833147001391655,-0.6991067425084729,-1.3288872349086926,-9.735909713955468
sacchpomb,1-3,0.05,HOPE,0.8274412855377009,0.7601333521428173,0.9111623063889754,1.002783023625281,-1.9958098631313086,-18.022596750331996
sacchpomb,2-3,0.05,HOPE,0.9484784147204529,0.6784745502255762,0.9662261118007517,2.0157320069000098,-4.172069660807801,-10.644168923713684
sacchpomb,1-2,0.05,HOPE,0.7894438138479001,0.542339110976181,0.2310978537228301,-0.7265060148401351,-1.1620761110220394,-9.543527533274633
sacchpomb,1-3,0.05,HOPE,0.826183706267771,0.7295976032262917,0.896738574225943,0.9893523713112481,-5.297800154071519,-19.37755841356295
sacchpomb,2-3,0.05,HOPE,0.9484784147204529,0.6923884243344526,0.9658457798541408,1.7260362467860726,-3.901409774633549,-21.73638045280321
sacchpomb,1-2,0.05,HOPE,0.7888762769580022,0.5932743170673352,0.2740063638164136,-0.7465508592159311,-5.673819300025301,-13.098147966155254
sacchpomb,1-3,0.05,HOPE,0.8285325751019904,0.7332973808017308,0.8994513699441817,1.0094739094245806,-5.61555727764707,-18.635118127842652
sacchpomb,2-3,0.05,HOPE,0.948619957537155,0.7448121823859505,0.9736319834804645,1.8329657780456534,-1.6644734169396935,-18.368288809408977
sacchpomb,1-2,0.05,HOPE,0.7911464245175936,0.5383602978941961,0.25291827879783274,-0.7062601524272244,-2.657493807369769,-6.910371270723044
sacchpomb,1-3,0.05,HOPE,0.828903449128446,0.7257637391355958,0.8925122348652236,1.0460836468040797,-8.83971131865727,-14.743729708736325
sacchpomb,2-3,0.05,HOPE,0.9474876150035386,0.739123572039175,0.9716616383948044,1.8021144716995354,-3.7232400989119547,-22.07841932247909
sacchpomb,1-2,0.10,HOPE,0.7837028160575195,0.5619250794841567,0.281622164502379,-0.6626278817313933,-4.4455575555761735,-8.043285806964768
