system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
celegans,1-2,0.05,HOPE,0.5701357466063348,0.5883748196248196,0.7131222976604032,-0.06946003762438405,-13.148492856483866,-15.500025605641916
celegans,1-3,0.05,HOPE,0.7779030439684329,0.5699073614146632,0.8409831350799739,0.3558858672850784,-18.143758880774584,-13.091343733867246
celegans,2-3,0.05,HOPE,0.8024096385542169,0.49609365463023997,0.7980770417959063,1.0490897357837514,17.345017252610063,-8.158233419853214
celegans,1-2,0.05,HOPE,0.5701357466063348,0.5883748196248196,0.7131222976604032,-0.069460037624384,-13.148492856483777,-15.500025605641893
celegans,1-3,0.05,HOPE,0.7779030439684329,0.5699073614146632,0.8409831350799739,0.35588586728507704,-18.14375888077456,-13.09134373386725
celegans,2-3,0.05,HOPE,0.8024096385542169,0.49609365463023997,0.7980770421664015,1.0490897357837532,17.345017252610038,-8.158233419853229
celegans,1-2,0.05,HOPE,0.611764705882353,0.5494936141932502,0.6848158257035548,0.059426360191521026,-9.91296358925203,-11.186793122928067
celegans,1-3,0.05,HOPE,0.7807215332581736,0.5947144057336666,0.8497448396219944,0.31327129761949407,-15.995242313585361,-16.05885377649804
celegans,2-3,0.05,HOPE,0.7975903614457831,0.531873469387755,0.8250394323654796,0.8341772587115549,-6.883991747073086,-12.48747196172779
celegans,1-2,0.05,HOPE,0.611764705882353,0.54949361419325,0.6848158897914023,0.059426360191520367,-9.912963589252012,-11.186793122928064
celegans,1-3,0.05,HOPE,0.7807215332581736,0.5947144057336666,0.8497448396219944,0.31327129761949385,-15.995242313585099,-16.05885377649803
celegans,2-3,0.05,HOPE,0.7975903614457831,0.531873469387755,0.8250394322197604,0.8341772587115548,-6.8839917470730585,-12.487471961727788
celegans,1-2,0.05,HOPE,0.5846153846153846,0.5667114539990754,0.6811697148558988,-0.005745180121895991,-8.520394760684345,-11.575803960078131
celegans,1-3,0.05,HOPE,0.786358511837655,0.6141383535333466,0.8545794429345746,0.2404364453680665,-0.15120470454006302,-17.144878999387586
celegans,2-3,0.05,HOPE,0.7983935742971887,0.5394979591836735,0.8126954969230064,0.6821233563677953,1.4441998366588746,-11.248986546959369
celegans,1-2,0.05,HOPE,0.5846153846153846,0.5667114539990754,0.6811697142145972,-0.005745180121894566,-8.5203947606841,-11.575803960078085
celegans,1-3,0.05,HOPE,0.786358511837655,0.6141383535333466,0.8545794429345746,0.24043644536806658,-0.15120470454001528,-17.144878999387586
celegans,2-3,0.05,HOPE,0.7983935742971887,0.5394979591836734,0.8126954972942999,0.6821233563677953,1.4441998366588873,-11.24898654695937
celegans,1-2,0.05,HOPE,0.5276018099547511,0.5612681689450661,0.6902218273684253,-0.07720820695587106,-2.5849435754924066,-18.88502673796303
celegans,1-3,0.05,HOPE,0.7931228861330327,0.568140847338979,0.8362578414761632,0.4352516680500536,-9.626335594299446,-13.627551418921907
celegans,2-3,0.05,HOPE,0.7927710843373494,0.5284489795918368,0.8233413454276001,0.7955070092336024,0.6961249905671668,-11.174106785090581
celegans,1-2,0.05,HOPE,0.5276018099547511,0.5612861847557417,0.6902262775255046,-0.07720820695586995,-2.5849435754920727,-18.885026737963027
celegans,1-3,0.05,HOPE,0.7931228861330327,0.568140847338979,0.8362578414761632,0.43525166805005233,-9.62633559429953,-13.627551418921927
celegans,2-3,0.05,HOPE,0.7927710843373494,0.5284489795918367,0.8233413466849262,0.7955070092336025,0.6961249905670149,-11.17410678509058
celegans,1-2,0.05,HOPE,0.6018099547511312,0.5890737711415539,0.706732469736936,0.004060118566299764,-10.837923504451455,-13.358247573327516
celegans,1-3,0.05,HOPE,0.7762119503945885,0.586217626253721,0.8462153362622469,0.20232461108571043,-11.279811110235633,-17.831855897029158
celegans,2-3,0.05,HOPE,0.7871485943775101,0.5924816326530612,0.8382128792056942,0.8399238101898464,15.224831157117794,-16.285255841549176
celegans,1-2,0.10,HOPE,0.5803059273422562,0.6003291063774934,0.7192726494638721,-0.11395690370012344,-9.284296484953401,-13.355662354481815
celegans,1-3,0.10,HOPE,0.7784395473496128,0.5884670437332371,0.8410172793479429,0.014454067300294055,-10.981239906033673,-12.862414590164262
celegans,2-3,0.10,HOPE,0.8022071307300509,0.5205440879260621,0.80193266754121,0.7065805266806697,1.8655666930216968,-9.883275789684047
celegans,1-2,0.10,HOPE,0.5803059273422562,0.6003270922625761,0.7192719052395602,-0.11395690370012275,-9.2842964849533,-13.355662354481817
celegans,1-3,0.10,HOPE,0.7784395473496128,0.5884670437332371,0.8410172793479429,0.014454067300294342,-10.981239906033661,-12.862414590164255
celegans,2-3,0.10,HOPE,0.8022071307300509,0.5205440879260621,0.8019326672367275,0.7065805266806697,1.865566693021793,-9.883275789684053
celegans,1-2,0.10,HOPE,0.6051625239005736,0.5702180883632497,0.6891995288899504,-0.04614238286885492,-8.349237833727656,-10.602779127767565
celegans,1-3,0.10,HOPE,0.7446428571428572,0.5931921240499081,0.8486631297468854,0.011228791977815254,-12.902518532845638,-13.033744728451895
celegans,2-3,0.10,HOPE,0.7905004240882103,0.5367685589519651,0.8387602019253142,0.39991668233212163,-7.563396954243742,-11.807907692329394
celegans,1-2,0.10,HOPE,0.6051625239005736,0.5702422577422578,0.689215501187995,-0.0461423828688559,-8.349237833727662,-10.602779127767565
celegans,1-3,0.10,HOPE,0.7446428571428572,0.5931921240499081,0.8486631297468854,0.01122879197781537,-12.902518532845688,-13.0337447284519
celegans,2-3,0.10,HOPE,0.7905004240882103,0.5367685589519651,0.8387602022942842,0.3999166823321234,-7.563396954243709,-11.807907692329387
celegans,1-2,0.10,HOPE,0.621414913957935,0.6270604395604396,0.7359658090934706,-0.11653329060720771,-10.509113436596683,-12.386487195434672
celegans,1-3,0.10,HOPE,0.7540202501488982,0.6157094085984148,0.8554842856161959,-0.14701098152774222,-8.46842389270472,-16.364669959941857
celegans,2-3,0.10,HOPE,0.765704584040747,0.5531662986784422,0.8188204608998262,0.267574841343641,12.385554752348673,-17.3426873779138
celegans,1-2,0.10,HOPE,0.621414913957935,0.6270604395604396,0.735965808391312,-0.11653329060720763,-10.509113436596714,-12.38648719543468
celegans,1-3,0.10,HOPE,0.7540202501488982,0.6157094085984148,0.8554842856161959,-0.14701098152774006,-8.46842389270475,-16.364669959941846
celegans,2-3,0.10,HOPE,0.765704584040747,0.5531662986784422,0.8188204608998262,0.2675748413436432,12.385554752348654,-17.342687377913805
celegans,1-2,0.10,HOPE,0.5936902485659655,0.5978275300223281,0.7144850501374421,-0.32640357363476413,-6.49741380901564,-18.25521716962329
celegans,1-3,0.10,HOPE,0.7845238095238095,0.6367899816176471,0.8681717632129793,0.12999634116031022,-9.456289972537268,-15.856210848110127
celegans,2-3,0.10,HOPE,0.7640067911714771,0.5232877086826566,0.814030686949794,0.4748148498643574,2.569174437901597,-10.88004367571548
celegans,1-2,0.10,HOPE,0.5936902485659655,0.5977872990968157,0.7139540403942601,-0.3264035736347639,-6.497413809015462,-18.25521716962329
celegans,1-3,0.10,HOPE,0.7845238095238095,0.6367899816176471,0.8681717632129793,0.1299963411603105,-9.456289972537164,-15.856210848110111
celegans,2-3,0.10,HOPE,0.7640067911714771,0.5232877086826566,0.814030686949794,0.47481484986435707,2.5691744379014843,-10.88004367571548
celegans,1-2,0.10,HOPE,0.5640535372848948,0.6003937640630024,0.7256644810616947,-0.1577361280907461,-1.9672880046073569,-12.6309401060032
celegans,1-3,0.10,HOPE,0.7742703990470519,0.6185867895545315,0.8600333923122395,0.030235335992932013,-6.541515694378943,-13.494906498261233
celegans,2-3,0.10,HOPE,0.7954159592529711,0.5689139607411483,0.8308280525891151,0.6683742392062827,3.1180307397154827,-10.794380110985323
celegans,1-2,0.15,HOPE,0.6028368794326241,0.614164388026728,0.7279655291442128,-0.34022864135828196,-8.804721297206251,-10.960881559789367
celegans,1-3,0.15,HOPE,0.7550505050505051,0.5966711346511719,0.8416540018364236,-0.23187910182898627,-9.297974673078182,-11.482385901344145
celegans,2-3,0.15,HOPE,0.8003597122302158,0.55462512571065,0.8186889101865056,0.38886705197836235,-3.2331231814952774,-9.118710349400452
celegans,1-2,0.15,HOPE,0.6028368794326241,0.614164388026728,0.7279655291442128,-0.34022864135828057,-8.804721297206195,-10.96088155978936
celegans,1-3,0.15,HOPE,0.7550505050505051,0.5966711346511719,0.8416540018364236,-0.23187910182898652,-9.297974673078139,-11.482385901344138
celegans,2-3,0.15,HOPE,0.8003597122302158,0.55462512571065,0.8186889101865056,0.38886705197836197,-3.2331231814953396,-9.118710349400454
celegans,1-2,0.15,HOPE,0.6048632218844985,0.5983512061919056,0.7193798901413015,-0.17228533222545367,-8.91546148537027,-10.58932682955393
celegans,1-3,0.15,HOPE,0.7545741324921136,0.5963072756551018,0.8500583278422018,-0.21039979971248182,-10.311968469250763,-11.36732466483964
celegans,2-3,0.15,HOPE,0.77737881508079,0.5692708413606029,0.850445865190347,0.30007436579252683,-6.7722004422390105,-10.203772583397516
celegans,1-2,0.15,HOPE,0.6058763931104356,0.6006388115302543,0.7206280041335362,-0.17228533222545359,-8.915461485370248,-10.58932682955392
celegans,1-3,0.15,HOPE,0.7545741324921136,0.5963072756551018,0.8500583278422018,-0.21039979971248246,-10.311968469250827,-11.367324664839641
celegans,2-3,0.15,HOPE,0.77737881508079,0.5692708413606029,0.850445865190347,0.300074365792526,-6.772200442239015,-10.203772583397516
