system,layers,theta,auroc
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.44999999999999996,0.7588673125998346
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.49999999999999994,0.776635265077791
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.5499999999999999,0.7760488039604456
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6,0.8027273154494275
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6499999999999999,0.800055266235061
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7,0.809223092815655
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7499999999999999,0.8201691649749703
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7999999999999999,0.8249044584220803
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.85,0.8354735663847197
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.8999999999999999,0.8439732612990902
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.95,0.8325109649122806
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.0,0.49411964358383
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.049999999999999996,0.5966931206134065
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.09999999999999999,0.6422251687863256
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.15,0.6444749053126915
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.19999999999999998,0.6991557884841328
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.24999999999999997,0.6995672130376703
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.3,0.7239890228300903
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.35,0.7363118610029471
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.39999999999999997,0.7411414028692357
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.44999999999999996,0.7580541383219954
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.49999999999999994,0.7695909102697018
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.5499999999999999,0.780192139223534
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6,0.8075863759219599
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6499999999999999,0.799870686618615
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7,0.8119343039952421
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7499999999999999,0.8264175883931877
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7999999999999999,0.8122664779882379
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.85,0.8366216396060687
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.8999999999999999,0.8429295746083252
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.95,0.8187125084110008
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.0,0.5047123018992427
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.049999999999999996,0.590075793056933
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.09999999999999999,0.6139130362049012
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.15,0.6369478336131974
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.19999999999999998,0.6886316933588787
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.24999999999999997,0.7057569971038932
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.3,0.719615913378424
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.35,0.7425089029979901
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.39999999999999997,0.7493403630505737
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.44999999999999996,0.7718386630872536
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.49999999999999994,0.7622196977194765
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.5499999999999999,0.7927400335813616
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6,0.801623366553606
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.6499999999999999,0.7974963124462476
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7,0.8119975237864536
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7499999999999999,0.8192328987639638
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.7999999999999999,0.825852469955144
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.85,0.8368496807706535
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.8999999999999999,0.8274777527104092
../../data/edgelists/clean-multiplex-arxiv_l1-2_l2-6.mplx,1-2,0.95,0.8530886390873647
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.0,0.46725090400924085
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.6016147166208233
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.6882146168225427
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.15,0.7679926534594776
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.7697029953356386
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.8034222924573801
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.3,0.804984421693681
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.35,0.8392342618679421
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.8258971818192923
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.8421288928326082
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.8601953697856504
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.8686126164343456
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6,0.8481777469604221
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.87440897054871
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7,0.8803377751037782
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.8821847518203793
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.913213351082218
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.85,0.9028473368800832
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.9011661091642773
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.95,0.8888107770327109
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.0,0.43876815614687376
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.625878586681015
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.696887395678361
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.15,0.7559452351046456
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.7815421283972018
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.7884657693533942
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.3,0.8223306017945068
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.35,0.8333880361109529
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.8345327168825051
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.8448570663286735
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.8433035706978342
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.8656616863596848
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6,0.8697370642576844
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.8797166810949892
