,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,0.02,"(1, 0)",False,d_G,0.7676109007820942,1,inverse,0.49465963746636965
1,0.02,"(0, 19)",True,d_G,0.49390048899648775,0,inverse,0.4616445584468441
2,0.02,"(1, 2)",True,d_G,0.6749119349544614,1,inverse,0.5217967059867095
3,0.02,"(41, 2)",False,d_G,0.5614555458889111,0,inverse,0.5175607091534221
4,0.02,"(4, 3)",True,d_G,0.7926455926163258,1,inverse,0.5117805454437911
5,0.02,"(3, 87)",False,d_G,0.6395790105389635,0,inverse,0.5287598632827855
6,0.02,"(4, 5)",True,d_G,0.7802175872334908,1,inverse,0.5040279769023202
7,0.02,"(18, 4)",True,d_G,0.6224576257271808,0,inverse,0.4949845150006867
8,0.02,"(4, 56)",False,d_G,0.7447546042759965,0,inverse,0.5076081412670007
9,0.02,"(6, 5)",False,d_G,0.7072593563915276,1,inverse,0.4984502173245818
10,0.02,"(68, 5)",True,d_G,0.6880720228665409,0,inverse,0.48614449341097205
11,0.02,"(7, 6)",False,d_G,0.7664917352951388,1,inverse,0.47613844468246486
12,0.02,"(6, 24)",True,d_G,0.5329945400512903,0,inverse,0.4902135826739048
13,0.02,"(7, 8)",True,d_G,0.6286194436040073,1,inverse,0.5217747141506978
14,0.02,"(8, 9)",True,d_G,0.6742809766722825,1,inverse,0.5159448273865284
15,0.02,"(10, 9)",False,d_G,0.6792937298766943,1,inverse,0.4770650968318394
16,0.02,"(11, 10)",False,d_G,0.697547994646786,1,inverse,0.4883452816601476
17,0.02,"(12, 11)",False,d_G,0.6657652961636965,1,inverse,0.4925221791987351
18,0.02,"(13, 12)",True,d_G,0.577793348394762,1,inverse,0.518259718587549
19,0.02,"(13, 14)",True,d_G,0.6498284206010715,1,inverse,0.5049314120980714
20,0.02,"(14, 15)",False,d_G,0.6557761888776488,1,inverse,0.4927468609951832
21,0.02,"(15, 16)",False,d_G,0.6420745923303064,1,inverse,0.49830118082698505
22,0.02,"(17, 16)",False,d_G,0.7239871950667551,1,inverse,0.4955929094825164
23,0.02,"(18, 17)",True,d_G,0.5450170033307598,1,inverse,0.5085665326091787
24,0.02,"(20, 21)",False,d_G,0.6249644174989308,1,inverse,0.49533339728842873
25,0.02,"(20, 54)",False,d_G,0.6674038816851808,0,inverse,0.500203641305278
26,0.02,"(22, 21)",False,d_G,0.6440293319258859,1,inverse,0.4955691410921696
27,0.02,"(22, 23)",True,d_G,0.6193813892665134,1,inverse,0.5159959385708427
28,0.02,"(24, 23)",True,d_G,0.5604780285651487,1,inverse,0.5024162597178923
29,0.02,"(23, 50)",False,d_G,0.6471177134238367,0,inverse,0.523730762724139
30,0.02,"(54, 25)",False,d_G,0.6108037641255013,0,inverse,0.5034786804544363
31,0.02,"(25, 78)",True,d_G,0.669030587156624,0,inverse,0.4948229964293998
32,0.02,"(26, 27)",True,d_G,0.5772424055477379,1,inverse,0.5279949006564879
33,0.02,"(27, 28)",True,d_G,0.5529082628073724,1,inverse,0.5162512528835635
34,0.02,"(29, 28)",False,d_G,0.6089773754999909,1,inverse,0.48913503360681104
35,0.02,"(29, 30)",True,d_G,0.6549188650809302,1,inverse,0.5021443634390029
36,0.02,"(30, 31)",False,d_G,0.6245601948729539,1,inverse,0.4998190877311031
37,0.02,"(32, 31)",False,d_G,0.6661359593846231,1,inverse,0.4860583649911212
38,0.02,"(42, 32)",False,d_G,0.7030775056107689,0,inverse,0.5047806548434743
39,0.02,"(33, 34)",True,d_G,0.5467181002397664,1,inverse,0.5156461687497862
40,0.02,"(33, 46)",True,d_G,0.5997335357007505,0,inverse,0.4928296336449728
41,0.02,"(34, 35)",True,d_G,0.7247346301639784,1,inverse,0.5200846178905708
42,0.02,"(36, 35)",True,d_G,0.5427476017792102,1,inverse,0.5096445077896409
43,0.02,"(36, 94)",False,d_G,0.5876206775201801,0,inverse,0.5304447520851038
44,0.02,"(37, 38)",False,d_G,0.6434179604699685,1,inverse,0.497487694074914
45,0.02,"(38, 39)",True,d_G,0.5344198071372984,1,inverse,0.5022623311342183
46,0.02,"(40, 39)",True,d_G,0.6690148071326724,1,inverse,0.5035189816982919
47,0.02,"(40, 41)",False,d_G,0.7107516076302068,1,inverse,0.4858136639256722
48,0.02,"(42, 41)",False,d_G,0.7317679977824462,1,inverse,0.4997781379924155
49,0.02,"(43, 42)",True,d_G,0.6087094148132042,1,inverse,0.500847749042644
50,0.02,"(45, 44)",False,d_G,0.6951149866589181,1,inverse,0.4900788355106319
51,0.02,"(45, 89)",False,d_G,0.7151496490178229,0,inverse,0.5061690159168152
52,0.02,"(47, 48)",False,d_G,0.6341027007088816,1,inverse,0.4812522906147829
53,0.02,"(49, 48)",False,d_G,0.6555543298951904,1,inverse,0.4862960738066393
54,0.02,"(49, 50)",True,d_G,0.6758272883027808,1,inverse,0.5032156453301057
55,0.02,"(52, 51)",False,d_G,0.6039420817053955,1,inverse,0.4903918684298268
56,0.02,"(60, 51)",True,d_G,0.7068561709427407,0,inverse,0.4947588784754807
57,0.02,"(53, 52)",False,d_G,0.5798487029914291,1,inverse,0.49585985706956365
58,0.02,"(54, 53)",True,d_G,0.6139637963289939,1,inverse,0.5223002167428229
59,0.02,"(56, 55)",False,d_G,0.45694542061634236,1,inverse,0.49893459317763245
60,0.02,"(57, 58)",True,d_G,0.5652504615610173,1,inverse,0.505195792511086
61,0.02,"(58, 59)",False,d_G,0.6319690113732467,1,inverse,0.49661235612292415
62,0.02,"(59, 60)",False,d_G,0.5865271035819739,1,inverse,0.4999489952894446
63,0.02,"(61, 62)",False,d_G,0.5122758592729617,1,inverse,0.4975898216006257
64,0.02,"(63, 62)",False,d_G,0.5843284477882441,1,inverse,0.49876443924819014
65,0.02,"(64, 63)",True,d_G,0.6182524353629713,1,inverse,0.5027963643352799
66,0.02,"(64, 65)",True,d_G,0.6341036468943686,1,inverse,0.5029163218202879
67,0.02,"(66, 65)",True,d_G,0.49231897518324197,1,inverse,0.5172798174640753
68,0.02,"(67, 66)",True,d_G,0.6063304649343115,1,inverse,0.5100662157007627
69,0.02,"(67, 68)",True,d_G,0.7084373598060646,1,inverse,0.5130826892199076
70,0.02,"(95, 68)",True,d_G,0.6766840482961642,0,inverse,0.49659398865736243
71,0.02,"(70, 69)",True,d_G,0.6885842307467305,1,inverse,0.5037589534490249
72,0.02,"(71, 70)",False,d_G,0.7052094883624931,1,inverse,0.4494280940833033
73,0.02,"(72, 71)",False,d_G,0.5830063308280514,1,inverse,0.49206658507654677
74,0.02,"(72, 73)",False,d_G,0.7583212041334387,1,inverse,0.4782602759866168
