,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
0,1000,10.0,10.0,,,,,,,,
1,1000,10.0,10.0,0.225,0.010667622518970568,9.833386051037515,0.45384138785625777,0.42545416643792466,0.44239287780267117,0.06105552799999714,0.06105637550354004
2,1000,10.0,10.0,0.45,0.040597777568531945,6.641276685177926,0.42046908315565035,0.39581933084852877,0.4245152874775926,0.021970070999941527,0.021970272064208984
3,1000,10.0,10.0,0.675,-0.010151771489909074,3.8657429967942614,0.4127906976744186,0.36364481459649833,0.4040595585951291,0.02167227399991134,0.021672725677490234
4,1000,10.0,10.0,0.9,0.0134941179575406,2.607551044609055,0.3677581863979849,0.3053677629238042,0.36433721822965554,0.021236751000060394,0.02123713493347168
5,1000,20.0,10.0,,,,,,,,
6,1000,20.0,10.0,0.225,-0.012040781721697228,9.412256323897541,0.47703180212014135,0.46581782197930177,0.49789932834703843,0.025312196999948355,0.025313138961791992
7,1000,20.0,10.0,0.45,-0.025431359500274742,6.326722910360889,0.47176913425345046,0.4448488853258641,0.5062972415557252,0.023719851000123526,0.023720264434814453
8,1000,20.0,10.0,0.675,-0.09454368439015857,4.096953051948848,0.45746962115796996,0.43377519449824375,0.49255397853699123,0.022658949000060602,0.022659778594970703
9,1000,20.0,10.0,0.9,-0.11513766197854891,2.7353054474568346,0.4582392776523702,0.4301834862385321,0.45799926260212037,0.022013109999988956,0.022013425827026367
10,1000,20.0,20.0,,,,,,,,
11,1000,20.0,20.0,0.225,-0.003841182511040958,10.46335700769913,0.5039477266539614,0.5193226867017994,0.5281396653671235,0.025820396999961304,0.025821208953857422
12,1000,20.0,20.0,0.45,-0.10624797756838236,6.3257521028865655,0.5067961165048543,0.5120825098754618,0.5002134279583499,0.02468889300007504,0.0246889591217041
13,1000,20.0,20.0,0.675,-0.028375591965703276,3.8975863361285965,0.5042961004626569,0.5150174239167287,0.5177991284467627,0.02482859399992776,0.024829387664794922
14,1000,20.0,20.0,0.9,-0.028798570950890372,2.713710204892581,0.5495689655172413,0.5451639877357615,0.5474814887704065,0.0242423269999108,0.024242877960205078
15,1000,30.0,10.0,,,,,,,,
16,1000,30.0,10.0,0.225,-0.040222221794598445,9.759221019211449,0.5105030403537866,0.5016674910523553,0.5445083277075435,0.02560987400011072,0.02561044692993164
17,1000,30.0,10.0,0.45,-0.1593498845814267,6.514800751487214,0.5009678668215254,0.4910904829980475,0.545472479064655,0.02450601900000038,0.024506807327270508
18,1000,30.0,10.0,0.675,-0.1466751633681112,3.9748101346325906,0.4830163043478261,0.4799483129558692,0.5672598800093629,0.023878146000015477,0.02387833595275879
19,1000,30.0,10.0,0.9,-0.199802784834899,2.846587787786028,0.4703389830508475,0.48774651448385464,0.5723200093913856,0.022338399000091158,0.0223386287689209
20,1000,30.0,20.0,,,,,,,,
21,1000,30.0,20.0,0.225,0.010298596344781875,10.004451682302998,0.5369921980091472,0.5363550000290076,0.544834114555228,0.02651362300002802,0.026514530181884766
22,1000,30.0,20.0,0.45,-0.04975597502240071,6.285298658624446,0.5314285714285715,0.5381812636165577,0.5369640169688126,0.025356749999900785,0.02535724639892578
23,1000,30.0,20.0,0.675,-0.047604052357848335,4.111115153956933,0.5485148514851486,0.5682023115932658,0.598311924431268,0.0242969500000072,0.024297475814819336
24,1000,30.0,20.0,0.9,-0.08090305496846713,2.850727320387219,0.487279843444227,0.49927940635348955,0.5413062065377642,0.024524996000081956,0.02452564239501953
25,1000,30.0,30.0,,,,,,,,
