,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
75,5,2.276759,1.1855118,"(59, 76)",1,0,False,0.34240875,0.2513835
76,5,1.5588926,0.31607917,"(179, 60)",1,0,False,0.16857809,0.22394668
77,5,1.9687027,0.34788188,"(61, 109)",1,0,False,0.15017016,0.1650917
78,5,1.378444,1.7127784,"(63, 62)",1,1,True,0.55407804,0.5828137
79,5,1.8301952,2.2092004,"(336, 62)",1,1,True,0.5469136,0.5936331
80,5,2.1127515,0.33336315,"(213, 120)",1,0,False,0.13628271,0.14437869
81,5,2.4389858,0.9905147,"(213, 281)",1,0,False,0.28882188,0.19023697
82,5,2.877813,0.67767626,"(121, 214)",1,0,False,0.1906,0.099738196
83,5,1.8110853,1.7810062,"(349, 214)",1,0,False,0.49581313,0.4924808
84,5,2.4427626,1.087974,"(339, 320)",1,0,False,0.30814362,0.20508857
85,5,2.4350634,1.5371742,"(320, 349)",1,0,False,0.3869794,0.2894845
86,5,2.1110926,0.8759498,"(205, 183)",1,0,False,0.29324988,0.22528261
87,5,2.023191,1.980323,"(205, 206)",1,0,False,0.4946462,0.48928463
88,5,2.5302386,2.2493844,"(206, 281)",1,0,False,0.47061965,0.4302444
89,5,1.9179752,1.339593,"(70, 176)",1,0,False,0.41122484,0.35930493
90,5,1.9701874,1.4875009,"(70, 277)",1,0,False,0.430201,0.38161796
91,5,1.6098044,0.97658855,"(293, 361)",1,0,False,0.37758708,0.3467817
92,5,1.5133423,0.8949947,"(91, 131)",1,0,False,0.37162355,0.35015735
93,5,1.5425098,0.31069443,"(130, 126)",1,0,False,0.16765256,0.22586384
94,5,1.6245089,0.2671871,"(319, 351)",1,0,False,0.14124209,0.20467594
95,5,1.7699966,0.88101,"(265, 158)",1,0,False,0.33233038,0.291319
96,5,1.8221083,0.8424782,"(88, 332)",1,0,False,0.316176,0.27296516
97,5,1.8394117,1.2891145,"(332, 340)",1,0,False,0.41205168,0.36579546
98,5,1.2732255,0.4036814,"(90, 91)",1,0,False,0.24072976,0.29534918
99,5,1.177791,0.6211572,"(173, 90)",1,0,False,0.34528914,0.3643267
100,5,1.2546251,0.36624905,"(115, 114)",1,0,False,0.22595772,0.29144508
101,5,2.4859505,1.2017187,"(135, 118)",1,0,False,0.32587487,0.21683073
102,5,2.2873836,1.4325428,"(135, 134)",1,0,False,0.38509977,0.2984184
103,5,2.2121482,2.1255183,"(245, 135)",1,0,False,0.49001423,0.47835603
104,5,1.990967,1.0801834,"(120, 281)",1,0,False,0.35171947,0.2868395
105,5,1.6041157,1.0957873,"(133, 132)",1,0,False,0.4058617,0.3755855
106,5,1.2187593,0.2820078,"(141, 140)",1,0,False,0.18790911,0.281557
107,5,1.5938698,0.8046182,"(177, 148)",1,0,False,0.33546892,0.31232938
108,5,1.5559453,0.785771,"(247, 177)",1,0,False,0.33555347,0.3164414
109,5,0.97503537,0.35918579,"(152, 357)",1,0,False,0.26921007,0.35072598
110,5,2.0809903,0.8883914,"(158, 157)",1,0,False,0.29918396,0.23279445
111,5,2.2305202,0.8641126,"(298, 272)",1,0,False,0.27922943,0.20320086
112,5,2.0118415,0.2633922,"(200, 273)",1,0,False,0.11576491,0.14824289
113,5,1.6793114,0.30730635,"(223, 163)",1,0,False,0.15468822,0.20229611
114,5,1.7258313,0.30149597,"(232, 166)",1,0,False,0.14871599,0.19398282
115,5,1.6687838,0.54227364,"(186, 168)",1,0,False,0.24525534,0.24480574
116,5,1.7844263,0.9964348,"(365, 186)",1,0,False,0.35831878,0.31260008
117,5,1.5324526,0.6662374,"(172, 316)",1,0,False,0.30301562,0.29604247
118,5,1.3755778,0.2985162,"(341, 368)",1,0,False,0.17831507,0.25406247
119,5,1.3898691,0.5960762,"(316, 195)",1,0,False,0.30014735,0.31135482
120,5,1.4735073,0.79370356,"(330, 287)",1,0,False,0.3500793,0.33630508
121,5,1.4222584,0.7551988,"(211, 212)",1,0,False,0.34682602,0.33915552
122,5,1.401561,0.58750105,"(211, 303)",1,0,False,0.29536587,0.30702603
123,5,1.580696,0.72382075,"(303, 335)",1,0,False,0.31408787,0.2979926
124,5,2.0658793,0.2943742,"(230, 231)",1,0,False,0.12472144,0.14535527
125,5,1.504493,0.41462532,"(308, 302)",1,0,False,0.21604988,0.2516432
126,5,1.9891083,0.8903981,"(236, 234)",1,0,False,0.309219,0.24998163
127,5,1.3525369,0.8990142,"(237, 234)",1,0,False,0.3992866,0.38852355
128,5,0.79836595,1.138292,"(237, 235)",1,1,True,0.587761,0.58417255
129,5,1.6041101,1.2977268,"(238, 237)",1,0,False,0.4472087,0.42399776
130,5,0.9302314,0.36398187,"(242, 244)",1,0,False,0.28123793,0.36210266
131,5,1.323084,0.29958972,"(268, 267)",1,0,False,0.1846272,0.26434734
132,5,1.6505224,0.7635197,"(274, 275)",1,0,False,0.3162827,0.29172876
133,5,1.4377594,0.88616025,"(276, 274)",1,0,False,0.38132137,0.36549348
134,5,2.0165796,1.6609981,"(286, 283)",1,0,False,0.45165548,0.4120296
135,5,1.883875,1.3361722,"(283, 287)",1,0,False,0.41495425,0.36639753
136,5,1.1420496,1.3946775,"(340, 286)",1,1,True,0.5497941,0.56282324
