,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
172,5,3.1120057,3.4052856,"(231, 132)",1,1,True,0.52250016,0.5727989
173,5,3.405366,3.717994,"(177, 133)",1,1,True,0.52194387,0.57752657
174,5,3.0705173,3.7311733,"(133, 232)",1,1,True,0.5485655,0.65940773
175,5,3.281363,3.0371616,"(135, 86)",1,0,False,0.4806758,0.43925124
176,5,3.5978537,3.4152286,"(135, 187)",1,0,False,0.4869797,0.4544702
177,5,3.292148,2.4290595,"(146, 144)",1,0,False,0.42457113,0.29669443
178,5,3.400983,2.9390101,"(105, 104)",1,0,False,0.46356678,0.38651788
179,5,3.8579261,2.9171576,"(270, 269)",1,0,False,0.43057144,0.28074515
180,5,3.48309,2.8649845,"(270, 271)",1,0,False,0.4513155,0.35021245
181,5,2.1161397,0.9711491,"(117, 116)",1,0,False,0.31456375,0.24140525
182,5,3.0280766,2.8300793,"(120, 121)",1,0,False,0.48310074,0.45066172
183,5,2.1178465,2.7710292,"(180, 192)",1,1,True,0.566803,0.65772736
184,5,2.7524483,2.7224956,"(192, 181)",1,0,False,0.49726456,0.49251238
185,5,2.8246791,2.9282725,"(125, 234)",1,1,True,0.5090035,0.5258752
186,5,1.2272434,1.2461921,"(147, 129)",1,1,True,0.50383043,0.504737
187,5,3.9466724,3.4016576,"(224, 187)",1,0,False,0.46291575,0.3670218
188,5,3.6490512,2.8371706,"(139, 138)",1,0,False,0.43741497,0.3074899
189,5,3.1067789,3.4492028,"(275, 139)",1,1,True,0.52611536,0.5847792
190,5,3.8206651,2.9741926,"(272, 271)",1,0,False,0.43771228,0.30017337
191,5,2.4121313,0.28593567,"(218, 200)",1,0,False,0.105977975,0.10657669
192,5,3.2872832,4.083114,"(225, 226)",1,1,True,0.55398834,0.689082
193,5,3.2561924,4.604309,"(205, 221)",1,1,True,0.5857526,0.7938216
194,5,4.0281906,3.4234965,"(73, 1)",0,0,True,0.4594257,0.3532705
195,5,4.332844,4.1342764,"(13, 7)",0,0,True,0.4882742,0.4505206
196,5,4.0501895,4.2538595,"(40, 13)",0,1,False,0.5122633,0.5507422
197,5,4.3336325,3.5134525,"(13, 44)",0,0,True,0.44773987,0.30572546
198,5,4.503075,3.4163423,"(13, 77)",0,0,True,0.43138808,0.252234
199,5,4.6794267,3.8612828,"(13, 112)",0,0,True,0.4521033,0.3061578
200,5,4.939622,4.4914503,"(13, 169)",0,0,True,0.4762396,0.38979557
201,5,4.231918,3.9234245,"(57, 29)",0,0,True,0.48108643,0.42348257
202,5,3.5545907,3.521046,"(57, 32)",0,0,True,0.49762955,0.49161458
203,5,3.3208299,3.454633,"(38, 57)",0,1,False,0.5098741,0.533401
204,5,4.267317,3.6376817,"(33, 57)",0,0,True,0.46017486,0.3475933
205,5,4.668576,4.230503,"(91, 57)",0,0,True,0.47538662,0.39220032
206,5,4.970103,3.9534535,"(57, 112)",0,0,True,0.44303566,0.26568058
207,5,5.0083146,4.8648043,"(115, 57)",0,0,True,0.49273226,0.46418387
208,5,3.8259878,3.2063766,"(174, 57)",0,0,True,0.45594573,0.34986988
209,5,4.770427,4.3911676,"(179, 57)",0,0,True,0.47930166,0.4063055
210,5,4.396892,4.250377,"(57, 242)",0,0,True,0.49152824,0.46343666
211,5,3.0966084,2.819748,"(73, 9)",0,0,True,0.47660208,0.43122363
212,5,4.042846,3.2645574,"(73, 21)",0,0,True,0.44674653,0.31468877
213,5,4.713701,4.271538,"(170, 83)",0,0,True,0.47539502,0.3912257
214,5,3.4261456,3.7639217,"(85, 170)",0,1,False,0.52348906,0.58365023
215,5,4.8542666,4.6836705,"(170, 179)",0,0,True,0.49105698,0.45745412
216,5,4.4906406,4.2542505,"(185, 170)",0,0,True,0.4864841,0.44117612
217,5,4.2904277,4.1854777,"(170, 233)",0,0,True,0.49380893,0.47378656
218,5,3.718124,3.7928128,"(131, 226)",0,1,False,0.50497204,0.5186636
219,5,3.6960547,4.245623,"(167, 226)",0,1,False,0.53460026,0.63403547
220,5,3.3482711,3.5128996,"(226, 186)",0,1,False,0.5119971,0.54106444
221,5,3.1353512,3.2570088,"(56, 32)",0,1,False,0.5095159,0.530377
222,5,4.8376617,4.594097,"(56, 54)",0,0,True,0.48708808,0.43940812
223,5,4.4894924,4.1523194,"(56, 55)",0,0,True,0.48049176,0.41649637
224,5,4.673302,4.0680294,"(59, 56)",0,0,True,0.46537867,0.3531383
225,5,4.6103153,4.583839,"(60, 56)",0,0,True,0.49856016,0.49338126
226,5,4.1450534,3.958935,"(68, 56)",0,0,True,0.48851687,0.45360428
227,5,4.443549,4.01444,"(56, 75)",0,0,True,0.47463292,0.39433908
228,5,5.022295,3.974303,"(56, 112)",0,0,True,0.44175622,0.2596109
229,5,4.770577,4.634767,"(158, 56)",0,0,True,0.49278018,0.46609962
230,5,1.782322,4.2448077,"(56, 240)",0,1,False,0.7042835,0.9214697
231,5,5.12496,4.7519784,"(264, 56)",0,0,True,0.48111856,0.4078208
232,5,3.2289941,3.526771,"(56, 265)",0,1,False,0.52203876,0.5738989
233,5,4.540504,5.03876,"(67, 60)",0,1,False,0.526007,0.62204945
234,5,4.613706,3.4245298,"(63, 67)",0,0,True,0.42603,0.23340629
235,5,4.026485,3.866741,"(114, 67)",0,0,True,0.48988095,0.46014872
236,5,4.1487074,3.5837572,"(162, 67)",0,0,True,0.46346897,0.36240286
237,5,2.6252933,2.8628416,"(225, 27)",0,1,False,0.52164197,0.55910945
