,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
72,0.02,"(74, 73)",True,d_G,0.6095883235834353,1,inverse,0.5127492268197036
73,0.02,"(75, 74)",True,d_G,0.676108714437634,1,inverse,0.5000247478217641
74,0.02,"(75, 76)",True,d_G,0.6008278623827198,1,inverse,0.5219970064650683
75,0.02,"(77, 76)",True,d_G,0.6408102782828925,1,inverse,0.5176702002885497
76,0.02,"(77, 78)",False,d_G,0.683151911870325,1,inverse,0.4993901939827657
77,0.02,"(79, 78)",True,d_G,0.6678742407443203,1,inverse,0.5194814278320342
78,0.02,"(80, 79)",False,d_G,0.6778704369366966,1,inverse,0.48046816405916964
79,0.02,"(82, 81)",False,d_G,0.6057732657463457,1,inverse,0.4868377385247117
80,0.02,"(83, 82)",True,d_G,0.6252365546173856,1,inverse,0.5160177787818025
81,0.02,"(84, 83)",False,d_G,0.6944720827978044,1,inverse,0.49395622307939546
82,0.02,"(85, 84)",False,d_G,0.7170344014375292,1,inverse,0.4964540235366365
83,0.02,"(86, 85)",False,d_G,0.6800232975811394,1,inverse,0.49934567729047397
84,0.02,"(86, 87)",True,d_G,0.6519592873281792,1,inverse,0.5046850294044334
85,0.02,"(87, 88)",True,d_G,0.6872993813861613,1,inverse,0.5035304121110049
86,0.02,"(89, 88)",False,d_G,0.5842059676811006,1,inverse,0.4912193329005626
87,0.02,"(89, 90)",False,d_G,0.702547517766878,1,inverse,0.49239903071906055
88,0.02,"(91, 90)",False,d_G,0.6805626873421348,1,inverse,0.4907597895425852
89,0.02,"(91, 92)",True,d_G,0.7150385533196763,1,inverse,0.5012272792895663
90,0.02,"(93, 92)",False,d_G,0.6623568898711104,1,inverse,0.4919250148688917
91,0.02,"(93, 94)",False,d_G,0.651216626857702,1,inverse,0.48166961085404675
92,0.02,"(95, 94)",False,d_G,0.5394513790846094,1,inverse,0.49630550683811836
93,0.02,"(95, 96)",False,d_G,0.6304987091809366,1,inverse,0.4907111089400722
94,0.02,"(96, 97)",True,d_G,0.6159359974481727,1,inverse,0.5107782175027811
95,0.02,"(97, 98)",False,d_G,0.7086441014873189,1,inverse,0.4794615326751781
96,0.02,"(99, 98)",True,d_G,0.6134514322409251,1,inverse,0.5022978822898473
