accuracy,auroc,pr,method,theta,system
0.6443217665615142,0.5366523242615422,0.31533068744462084,LE,0.05,celegans
0.8124062031015508,0.5866278843534768,0.22711850376661585,LE,0.05,celegans
0.8658653846153846,0.5209911209970954,0.12460083148459522,LE,0.05,celegans
0.7436780195909668,0.823001558813971,0.9770604503320752,LE,0.05,drosophila
0.7476255650947701,0.7605133708655876,0.9755503654973101,LE,0.05,drosophila
0.5341109932838459,0.5397129090644726,0.5058083427695874,LE,0.05,drosophila
0.2853185595567867,0.4524643145704282,0.7414466423644894,LE,0.05,london
0.8686567164179104,0.5413140866102539,0.8934341409915927,LE,0.05,london
0.4628099173553719,0.5884002361275088,0.7313857566077,LE,0.05,london
0.6957671957671958,0.6025145772594752,0.40247598055923994,LE,0.15,celegans
0.7744988864142539,0.481982278369961,0.15639059054599197,LE,0.15,celegans
0.8738880167451596,0.5546676653137202,0.12539021060779482,LE,0.15,celegans
0.8966397665618019,0.8978461597444938,0.9872211696646224,LE,0.15,drosophila
0.8869108487496514,0.8614937841351493,0.9870411750702086,LE,0.15,drosophila
0.5626729932779755,0.5915181241022296,0.5396863865125138,LE,0.15,drosophila
0.5379939209726444,0.6943493150684932,0.8937860191782308,LE,0.15,london
0.4869281045751634,0.8481362172112289,0.9749518326844056,LE,0.15,london
0.5043478260869565,0.7008899143045484,0.816906746481431,LE,0.15,london
0.6649789029535865,0.5168070632899421,0.319732648081124,LE,0.1,celegans
0.8074697527617044,0.5156378502723513,0.17586409315568124,LE,0.1,celegans
0.8711288711288712,0.5213360985419809,0.12268498627288123,LE,0.1,celegans
0.8488643233439848,0.8650966380301413,0.9837076202248685,LE,0.1,drosophila
0.9199685122015219,0.8392213538712949,0.9828540390193481,LE,0.1,drosophila
0.5577422948384702,0.5615755113980097,0.525241522145799,LE,0.1,drosophila
0.38596491228070173,0.6783950938100931,0.8919544288709681,LE,0.1,london
0.8730650154798761,0.5805653710247349,0.9158258201739773,LE,0.1,london
0.4132231404958678,0.5812462731067383,0.7255128142505833,LE,0.1,london
0.6846307385229541,0.5737398205398885,0.3913450536753359,LE,0.25,celegans
0.7794024157660522,0.5746521749195547,0.20871791951079863,LE,0.25,celegans
0.86441647597254,0.511715178299299,0.11291883787214954,LE,0.25,celegans
0.9224324046468593,0.9120418988762988,0.9893452614887897,LE,0.25,drosophila
0.9312075274438055,0.9045731542566278,0.9910649994114644,LE,0.25,drosophila
0.5788308237378211,0.5942992789601846,0.5391835000826786,LE,0.25,drosophila
0.6583629893238434,0.8154515327257663,0.9362870646715907,LE,0.25,london
0.6444444444444445,0.8403371320037987,0.9710055174753321,LE,0.25,london
0.7319587628865979,0.8260481712756467,0.8873913772339815,LE,0.25,london
0.6548269581056466,0.5829745332380825,0.36403777488115596,LE,0.2,celegans
0.7806215722120659,0.5524952126573477,0.20166468137863974,LE,0.2,celegans
0.8635097493036211,0.48956377627888653,0.11856064250475942,LE,0.2,celegans
0.9099468855625302,0.8988733819191392,0.987880216592841,LE,0.2,drosophila
0.9176922319582554,0.88934622357534,0.9893894369169355,LE,0.2,drosophila
0.5836079077429983,0.6109489949826084,0.5477574065995836,LE,0.2,drosophila
0.5451612903225806,0.8373695976154992,0.9492051856349664,LE,0.2,london
0.7569444444444444,0.7583719177344675,0.9565658832035998,LE,0.2,london
0.5918367346938775,0.8849431818181819,0.9342233498254686,LE,0.2,london
0.6575192096597146,0.5674325674325674,0.35597226291172046,LE,0.35,celegans
0.7652173913043478,0.5582349124930286,0.20544993187552874,LE,0.35,celegans
0.8525557011795544,0.4498134652090925,0.09507717817952877,LE,0.35,celegans
0.9335819570236192,0.9302804911787865,0.9917750615370292,LE,0.35,drosophila
0.9465374298951476,0.9142801572219275,0.9921125041391806,LE,0.35,drosophila
0.5793413173652695,0.6058834582858089,0.5206665344812769,LE,0.35,drosophila
0.7165991902834008,0.9089379207180255,0.9715798225068184,LE,0.35,london
0.8941176470588236,0.9568965517241379,0.9784851133056645,LE,0.35,london
0.6458112407211029,0.5783902201547033,0.34737228001636095,LE,0.3,celegans
0.7821380243572396,0.5683565883774433,0.2164491538754978,LE,0.3,celegans
0.8789407313997478,0.5214055458702016,0.11554121310846376,LE,0.3,celegans
0.9315809818322381,0.9306228613165584,0.9915517907405106,LE,0.3,drosophila
0.9368776371308016,0.9138881980342193,0.9916684980249735,LE,0.3,drosophila
0.5792941176470588,0.6190803105574556,0.5606814609347686,LE,0.3,drosophila
0.3356401384083045,0.7438888888888888,0.9059684168103501,LE,0.3,london
0.9094650205761317,0.9125,0.9843256422699835,LE,0.3,london
0.8387096774193549,0.9090229312063808,0.9449470598812931,LE,0.3,london
