accuracy,auroc,pr,method,theta,mu
0.7607222297643041,0.8468187707004311,0.8460018093140327,LE,0.05,0.1
0.8208147379950826,0.9081422910123692,0.9104857698863281,LE,0.15,0.1
0.7992473425911661,0.8863393898942624,0.8871531558261971,LE,0.1,0.1
0.8544095704646587,0.93667429688956,0.9387296716256676,LE,0.25,0.1
0.8357988165680473,0.9232252603594749,0.9256021517233821,LE,0.2,0.1
0.8757937051756429,0.9530400203596185,0.9548769670812672,LE,0.35,0.1
0.8652213891639553,0.9462250456919372,0.9481798571272826,LE,0.3,0.1
0.8874521503154036,0.9604423385765885,0.9618588220061626,LE,0.45,0.1
0.8837357052096569,0.9578449639854888,0.9593816365711328,LE,0.4,0.1
0.8993575780360242,0.9668811516946589,0.96814389645522,LE,0.55,0.1
0.8939372932718018,0.9639009033313297,0.9655480123489895,LE,0.5,0.1
0.9096364228194568,0.9720390588752139,0.9730794243206923,LE,0.65,0.1
0.9063304680988693,0.9712002132285514,0.9722486514876996,LE,0.6,0.1
0.9187610513976914,0.9772446545616273,0.9778103035442361,LE,0.75,0.1
0.915322514074392,0.9756426213814282,0.9762269793240352,LE,0.7,0.1
0.9324387320191796,0.9825516930365374,0.982676547495731,LE,0.85,0.1
0.9235829458898012,0.9787825338685707,0.979462102216263,LE,0.8,0.1
0.9445334401281538,0.9879626510353501,0.9876081315015839,LE,0.95,0.1
0.937521815008726,0.9853330526897183,0.9856838950040572,LE,0.9,0.1
0.7310138832219119,0.814953075901292,0.8151656849021698,LE,0.05,0.2
0.7328832055279346,0.8174438109957052,0.8198725358378784,LE,0.05,0.2
0.7307272593727375,0.8146520371369113,0.8137360342920588,LE,0.05,0.2
0.7364292815655905,0.8199696685418185,0.8196029222909447,LE,0.05,0.2
0.7351331516041099,0.8192893008327394,0.8183280093488635,LE,0.05,0.2
0.7357259889209643,0.8197064714908482,0.8205103462053928,LE,0.05,0.2
0.7335280460525618,0.8181745880229874,0.8194449612859579,LE,0.05,0.2
0.7385856623140732,0.8223813465798251,0.820852228184012,LE,0.05,0.2
0.7353249779868078,0.8210204679757185,0.8222938788295541,LE,0.05,0.2
0.7343821969206883,0.8193417201432849,0.8201124166337915,LE,0.05,0.2
0.6953992735695109,0.7741704070810898,0.7745392789493742,LE,0.05,0.3
0.6935545857045838,0.7709745327538607,0.7700564490377777,LE,0.05,0.3
0.6937848977040357,0.7715210094478935,0.7713216337363997,LE,0.05,0.3
0.6916442356065203,0.7703123159762202,0.7693351278808683,LE,0.05,0.3
0.6928671476518935,0.7704642100576686,0.7689522322983188,LE,0.05,0.3
0.6989324519814578,0.7777969440437695,0.7772307922216349,LE,0.05,0.3
0.6935092944976364,0.7719044172483691,0.7719120608541785,LE,0.05,0.3
0.6945815919402891,0.7742783141553361,0.7739511307501904,LE,0.05,0.3
0.6925677463045066,0.7701036738819284,0.7684638325808637,LE,0.05,0.3
0.6902391433545286,0.7689489692503082,0.76765186098703,LE,0.05,0.3
