accuracy,auroc,pr,method,theta,system
0.5588203753351206,0.7356607709940097,0.8293208239375268,N2V,0.05,arxiv
0.4318943425980682,0.7172748884309069,0.9291921852221712,N2V,0.05,arxiv
0.4676330640699347,0.7312005652031206,0.8838428789725234,N2V,0.05,arxiv
0.612776025236593,0.5367359149662558,0.3167331376109149,N2V,0.05,celegans
0.8099049524762382,0.6095072677040847,0.2501345038817109,N2V,0.05,celegans
0.8475961538461538,0.5366086528916504,0.12917237091994854,N2V,0.05,celegans
0.7452764457559736,0.8217567943332703,0.9767367202640462,N2V,0.05,drosophila
0.7440587283812368,0.7664421502143176,0.9759312020087774,N2V,0.05,drosophila
0.5447154471544715,0.5578438598338422,0.5287323212660019,N2V,0.05,drosophila
0.3656509695290859,0.6488463955471766,0.9096105435959182,N2V,0.05,london
0.8955223880597015,0.6012112161937946,0.9309272167418928,N2V,0.05,london
0.4628099173553719,0.6258854781582055,0.8580944917151814,N2V,0.05,london
0.6748683977050925,0.8524759275606718,0.8947200262628627,N2V,0.15,arxiv
0.6314719337738727,0.8369084677969971,0.9564720474864904,N2V,0.15,arxiv
0.6303622202991717,0.8806721649602944,0.9453437412485555,N2V,0.15,arxiv
0.6490299823633157,0.5986260932944607,0.40922799928465725,N2V,0.15,celegans
0.782293986636971,0.5972134491380445,0.22546932602132558,N2V,0.15,celegans
0.8712715855572999,0.5593625914891038,0.1366529278264398,N2V,0.15,celegans
0.8990106232617517,0.9000916147356752,0.9876585082907685,N2V,0.15,drosophila
0.8899321372129776,0.8579132341999604,0.9865657638082221,N2V,0.15,drosophila
0.5709766706207987,0.6027112191547835,0.5479874103634179,N2V,0.15,drosophila
0.47720364741641336,0.7487692636986301,0.9260125023868574,N2V,0.15,london
0.4869281045751634,0.761573861021629,0.9671964036976067,N2V,0.15,london
0.5043478260869565,0.7275873434410021,0.8915638939910785,N2V,0.15,london
0.6200506899464939,0.8151196606105565,0.8722636219755676,N2V,0.1,arxiv
0.5531267293857222,0.7995252941413064,0.9472994838302562,N2V,0.1,arxiv
0.5821278581427904,0.8333481256448787,0.9250754609336199,N2V,0.1,arxiv
0.6421940928270042,0.5648048070362689,0.3689324266684843,N2V,0.1,celegans
0.7901104681746449,0.551348446743505,0.23082101333034846,N2V,0.1,celegans
0.8711288711288712,0.5423156688710987,0.1376355108627648,N2V,0.1,celegans
0.848216599015459,0.8667316517799699,0.9838680945499395,N2V,0.1,drosophila
0.8657395259337007,0.8388090928208632,0.9829501620180907,N2V,0.1,drosophila
0.5514296323802451,0.5805162399753581,0.5423191596028483,N2V,0.1,drosophila
0.3684210526315789,0.7381632971259291,0.933613548912668,N2V,0.1,london
0.8885448916408669,0.7018551236749117,0.9572871790206877,N2V,0.1,london
0.4132231404958678,0.6244782349433512,0.765602986756833,N2V,0.1,london
0.757802168738429,0.9040166772361459,0.9297382243835541,N2V,0.25,arxiv
0.7125132642233287,0.8818521533576787,0.9666924770217551,N2V,0.25,arxiv
0.7470147181338517,0.9129380928759959,0.956970283978028,N2V,0.25,arxiv
0.6576846307385229,0.5899845423013121,0.40659020587126565,N2V,0.25,celegans
0.8143674507310871,0.6450650508137139,0.28106053557979893,N2V,0.25,celegans
0.8638443935926774,0.5889543965254496,0.14845648972427794,N2V,0.25,celegans
0.9268016860285803,0.9123972893805058,0.9893740053754441,N2V,0.25,drosophila
0.9304756926293779,0.9037477417607008,0.9911430498445367,N2V,0.25,drosophila
0.5837023914969,0.6036605420448437,0.5517008372414353,N2V,0.25,drosophila
0.6761565836298933,0.8458989229494615,0.9503625229590605,N2V,0.25,london
0.9185185185185185,0.8352326685660019,0.9726205754708351,N2V,0.25,london
0.7319587628865979,0.7917038358608385,0.8914542088021649,N2V,0.25,london
0.7288486904088939,0.8882519626059302,0.9200693674168894,N2V,0.2,arxiv
0.7011201235998455,0.8710340588455957,0.9653598022673882,N2V,0.2,arxiv
0.7111081863648329,0.9067743267701799,0.9573743123715103,N2V,0.2,arxiv
0.6675774134790529,0.6067402930897998,0.401067075792679,N2V,0.2,celegans
0.7958561852528946,0.6138256248378926,0.24386307450672157,N2V,0.2,celegans
