,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,largest_component,metric,N,tau1,tau2,mu,avg_k,min_community,prob,pfi,repetition,Accuracy,AUROC
0,128,30,200,8,10,1,4,True,inverse,500,2.1,1.0,0.1,5,1,1.0,0.05,0,0.4949426837491571,0.4584869208135286
1,128,30,200,8,10,1,4,True,negexp,500,2.1,1.0,0.1,5,1,1.0,0.05,0,0.4964493221433183,0.4989879941370945
2,128,30,200,8,10,1,4,True,inverse,500,2.1,1.0,0.1,5,1,1.0,0.33,0,0.484819734345351,0.49893295110686414
3,128,30,200,8,10,1,4,True,negexp,500,2.1,1.0,0.1,5,1,1.0,0.33,0,0.4846743295019157,0.5009199295079778
4,128,30,200,8,10,1,4,True,inverse,500,2.1,1.0,0.1,5,1,1.0,0.67,0,0.45774647887323944,0.43646888174929166
5,128,30,200,8,10,1,4,True,negexp,500,2.1,1.0,0.1,5,1,1.0,0.67,0,0.5321428571428571,0.5689820291814547
6,128,30,200,8,10,1,4,True,inverse,500,2.1,1.0,0.1,5,1,1.0,0.95,0,0.4594594594594595,0.4855769230769231
7,128,30,200,8,10,1,4,True,negexp,500,2.1,1.0,0.1,5,1,1.0,0.95,0,0.5657894736842105,0.5961538461538461
