,N,tau1,tau2,avg_k,min_community,mu,prob,pfi,distance,rep,largest_component,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,_time_embedd,AUROC,Accuracy,_time_all,kmax
0,500,2.1,1.0,5,10,0.3,1.0,0.7,logistic,2,True,128,30,100,24,10,1,4,198.65233270311728,0.5,0.5148514851485149,198.7734998310916,22.360679774997898
1,500,2.5,1.0,12,100,0.75,1.0,0.4,negexp,4,True,128,30,100,24,10,1,4,197.8659182130359,0.8486417235338719,0.75,197.9813494880218,22.360679774997898
2,500,2.9,1.0,5,10,0.1,1.0,0.8,logistic,1,True,128,30,100,24,10,1,4,190.63332311902195,0.5023148148148148,0.47770700636942676,190.64376728399657,22.360679774997898
3,500,2.5,1.0,12,100,0.75,1.0,0.3,logistic,1,True,128,30,100,24,10,1,4,191.4811242101714,0.5070608041196276,0.5202411714039621,191.55417989310808,22.360679774997898
4,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,4,True,128,30,100,24,10,1,4,160.04867593804374,0.8490693543404386,0.7663934426229508,160.09684924711473,22.360679774997898
5,500,2.5,1.0,12,100,0.75,1.0,0.3,inverse,4,True,128,30,100,24,10,1,4,209.28859722497873,0.8157734132268086,0.5321585903083701,209.4077163359616,22.360679774997898
6,500,2.9,1.0,5,10,0.1,1.0,0.9,logistic,4,True,128,30,100,24,10,1,4,202.0882762100082,0.5,0.4556213017751479,202.0973247741349,22.360679774997898
7,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,3,True,128,30,100,24,10,1,4,181.44533128105104,0.8586550353063205,0.5860805860805861,181.46954806987196,22.360679774997898
8,500,2.5,1.0,12,100,0.75,1.0,0.2,negexp,5,True,128,30,100,24,10,1,4,167.5239470351953,0.7720393596769252,0.6720061022120518,167.63815606106073,22.360679774997898
9,500,2.5,1.0,12,100,0.75,1.0,0.4,logistic,5,True,128,30,100,24,10,1,4,195.9114768540021,0.5039246467817896,0.511578947368421,195.97367453482002,22.360679774997898
10,500,2.9,1.0,5,10,0.1,1.0,0.9,inverse,5,True,128,30,100,24,10,1,4,198.40605461294763,0.8263322884012538,0.5892857142857143,198.41558100888506,22.360679774997898
11,500,2.5,1.0,12,100,0.75,1.0,0.2,inverse,4,True,128,30,100,24,10,1,4,209.7985101940576,0.7802600625181271,0.5077399380804953,210.23585963714868,22.360679774997898
12,500,2.1,1.0,5,10,0.3,1.0,0.7,inverse,2,True,128,30,100,24,10,1,4,146.44038214883767,0.8608922890471141,0.5644171779141104,146.5266208369285,22.360679774997898
13,500,2.9,1.0,5,10,0.1,1.0,0.9,inverse,3,True,128,30,100,24,10,1,4,201.7019480240997,0.8262417994376756,0.5592105263157895,201.71038335515186,22.360679774997898
14,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,2,True,128,30,100,24,10,1,4,151.7550825360231,0.8388072601555748,0.7021276595744681,151.76421383908018,22.360679774997898
15,500,2.9,1.0,5,100,0.1,1.0,0.2,inverse,4,True,128,30,100,24,10,1,4,104.83424733602442,0.7581575207004516,0.5330296127562643,104.86947529483587,22.360679774997898
16,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,4,True,128,30,100,24,10,1,4,147.37836162513122,0.8428983271339012,0.5292682926829269,147.5369315110147,22.360679774997898
17,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,5,True,128,30,100,24,10,1,4,189.6922853749711,0.84400826446281,0.7532467532467533,189.70550643396564,22.360679774997898
18,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,5,True,128,30,100,24,10,1,4,197.2324323260691,0.8800997487943965,0.7788844621513944,197.26369026000611,22.360679774997898
19,500,2.5,1.0,12,100,0.75,1.0,0.3,negexp,5,True,128,30,100,24,10,1,4,194.51524801319465,0.8126982223288293,0.7175043327556326,194.7809038120322,22.360679774997898
20,500,2.5,1.0,12,100,0.75,1.0,0.4,inverse,4,True,128,30,100,24,10,1,4,200.77380975312553,0.8269247886070317,0.5412147505422994,200.9118059889879,22.360679774997898
