accuracy,auroc,pr,method,theta,mu
,,,N2V,0.2,0.4
,,,N2V,0.35,0.4
0.6623617051847431,0.7260466785930881,0.7201748487335038,ISOMAP,0.1,0.2
,,,N2V,0.05,0.2
,,,N2V,0.35,0.2
,,,N2V,0.25,0.5
0.7072872128865467,0.7861389789588362,0.7870089285493462,ISOMAP,0.2,0.2
,,,N2V,0.05,0.5
0.7707747984363548,0.860720050220477,0.8646276332310779,ISOMAP,0.35,0.2
,,,N2V,0.15,0.4
,,,N2V,0.2,0.3
0.7576184359184684,0.84771294735002,0.8510935288175973,ISOMAP,0.35,0.2
0.6419755182424747,0.6947139390854924,0.6832096653605884,ISOMAP,0.1,0.5
,,,N2V,0.35,0.3
,,,N2V,0.15,0.5
0.8800416040679533,0.9592126690841338,0.960864899088737,ISOMAP,0.7,0.1
0.7085369492424494,0.7855497536562278,0.7841609440881442,ISOMAP,0.25,0.3
,,,N2V,0.35,0.3
0.855572500940799,0.9404125038312019,0.9428211347620783,ISOMAP,0.5,0.1
0.6546135148814987,0.7132298065573324,0.702354208276379,ISOMAP,0.1,0.3
0.6246813277704198,0.6722353744982412,0.6584843832972772,ISOMAP,0.05,0.3
0.7320812317494028,0.8154778317196316,0.8160067128701483,ISOMAP,0.25,0.2
,,,N2V,0.25,0.3
,,,N2V,0.15,0.3
0.6483917508274633,0.7031753241527693,0.6916406304491551,ISOMAP,0.1,0.4
0.654094935372373,0.7126013067582205,0.7047875175254801,ISOMAP,0.1,0.3
0.621271689813093,0.6645316627209643,0.646870276127207,ISOMAP,0.05,0.5
0.6500058241764337,0.704635527961109,0.6916178802161849,ISOMAP,0.1,0.4
,,,N2V,0.15,0.3
,,,N2V,0.05,0.4
,,,N2V,0.05,0.3
,,,N2V,0.25,0.3
0.6936898165581795,0.7642028825335039,0.7589516934310303,ISOMAP,0.35,0.5
0.8760775728022491,0.9551192223038053,0.9570657113266889,ISOMAP,0.6,0.1
,,,N2V,0.15,0.5
0.8358050060657077,0.9232251532449391,0.9256019189298242,LE,0.2,0.1
,,,N2V,0.1,0.2
,,,N2V,0.25,0.5
0.6682064964115948,0.732500235906272,0.7240219191932843,ISOMAP,0.15,0.4
,,,N2V,0.1,0.5
,,,N2V,0.15,0.5
0.7473636374229483,0.8307292550192943,0.8304264344748543,N2V,0.15,0.1
,,,N2V,0.1,0.2
0.6797774027169615,0.748549420337008,0.7433323274200587,ISOMAP,0.15,0.3
,,,N2V,0.35,0.4
,,,N2V,0.05,0.5
0.937571677885814,0.9853334107211682,0.9856834491543417,LE,0.9,0.1
,,,N2V,0.2,0.3
0.6711680408692222,0.7336677406674521,0.722705003430449,ISOMAP,0.2,0.5
0.6951945626819408,0.7685699357695074,0.7672521331944512,ISOMAP,0.2,0.3
0.7266295174454901,0.8101795015289499,0.8125174612454409,ISOMAP,0.35,0.3
,,,N2V,0.15,0.4
,,,N2V,0.05,0.3
0.647987214064529,0.7021078499930686,0.6890360370948558,ISOMAP,0.1,0.5
,,,N2V,0.25,0.2
0.6653119236958641,0.7280309846094806,0.7197118894082284,ISOMAP,0.15,0.4
,,,N2V,0.15,0.5
,,,N2V,0.35,0.5
0.6382044680242387,0.6917171329855023,0.6798350400679608,ISOMAP,0.05,0.2
,,,N2V,0.05,0.5
0.6985187264165653,0.7719500513103124,0.7690845652453372,ISOMAP,0.2,0.3
0.6746995408018022,0.7373577744613501,0.7274885479205484,ISOMAP,0.2,0.5
,,,N2V,0.2,0.2
,,,N2V,0.1,0.2
0.7346802944335712,0.819933248302448,0.8226011894520601,ISOMAP,0.25,0.2
,,,N2V,0.05,0.4
0.6181785441911702,0.6598107862941947,0.6438960298588489,ISOMAP,0.05,0.4
,,,N2V,0.1,0.2
0.6736431470417706,0.7365556126492615,0.7267888850925277,ISOMAP,0.2,0.5
0.877534869917895,0.9597884331816136,0.9620704193530998,ISOMAP,0.8,0.1
0.7090704879938032,0.7860950677678455,0.7837358647371727,ISOMAP,0.35,0.4
,,,N2V,0.35,0.5
0.623232795532276,0.6665851799778143,0.64951644670621,ISOMAP,0.05,0.5
,,,N2V,0.05,0.2
,,,N2V,0.1,0.5
