N,T1,T2,accuracy,auroc,kmax,embrep,kavg,embedding,mu,system,penalty,PC,pr,prob,somerep,otherrep,strategy,theta
250,2.1,1.0,0.9925492283129325,0.9993122732597794,32,0,10.0,N2V,0.1,LFR,None,True,0.9994075566836402,1.0,3,4,RANDOM,0.2
250,2.1,1.0,0.9976145038167938,0.999989073705143,32,0,10.0,N2V,0.1,LFR,None,False,0.9999892116692904,1.0,4,5,RANDOM,0.1
250,2.1,1.0,0.997355896351137,0.9999619668932992,32,0,10.0,N2V,0.1,LFR,None,False,0.9999617734303172,1.0,2,5,RANDOM,0.2
250,2.1,1.0,0.990990990990991,0.999670836076366,32,0,10.0,N2V,0.1,LFR,None,True,0.9997419189666847,1.0,0,1,RANDOM,0.95
250,2.1,1.0,0.991904761904762,0.9982456124436332,32,0,10.0,N2V,0.1,LFR,None,False,0.9983504935438106,1.0,3,2,RANDOM,0.1
250,2.1,1.0,0.9994353472614342,0.9994350268075316,32,0,10.0,N2V,0.1,LFR,None,False,0.9994324703693769,1.0,3,5,RANDOM,0.25
250,2.1,1.0,0.9943729903536977,0.9994828874530397,32,0,10.0,N2V,0.1,LFR,None,True,0.9995012330305418,1.0,1,4,RANDOM,0.45
250,2.1,1.0,0.9957374254049446,0.9982640807187927,32,0,10.0,N2V,0.1,LFR,None,False,0.998313697354109,1.0,2,5,RANDOM,0.5
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,1,4,RANDOM,0.95
250,2.1,1.0,0.9951048951048951,0.9994640062597808,32,0,10.0,N2V,0.1,LFR,None,False,0.9995861774171869,1.0,2,1,RANDOM,0.4
250,2.1,1.0,0.9958419958419958,0.999813821381099,32,0,10.0,N2V,0.1,LFR,None,True,0.9998257818440905,1.0,0,4,RANDOM,0.6
250,2.1,1.0,0.9953249181860683,0.9993469069442938,32,0,10.0,N2V,0.1,LFR,None,True,0.9995224195437485,1.0,0,1,RANDOM,0.1
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0000000000000002,1.0,0,2,RANDOM,0.85
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,1,5,RANDOM,0.85
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,0.9999999999999999,1.0,1,3,RANDOM,0.85
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,0,5,RANDOM,0.9
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,0.9999999999999999,1.0,2,5,RANDOM,0.95
250,2.1,1.0,0.9971181556195965,0.999543162808469,32,0,10.0,N2V,0.1,LFR,None,True,0.9996095703841392,1.0,3,4,RANDOM,0.7
250,2.1,1.0,0.9939759036144579,0.9999636456174792,32,0,10.0,N2V,0.1,LFR,None,False,0.9999666836033019,1.0,4,5,RANDOM,0.85
250,2.1,1.0,0.9980266403552047,0.9997293155187892,32,0,10.0,N2V,0.1,LFR,None,False,0.9996981026623999,1.0,1,3,RANDOM,0.15
250,2.1,1.0,0.998158379373849,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,4,3,RANDOM,0.75
250,2.1,1.0,0.9970267591674926,0.9995697750257349,32,0,10.0,N2V,0.1,LFR,None,False,0.9996074727529557,1.0,0,3,RANDOM,0.15
250,2.1,1.0,0.9949022939677146,0.9996302950130264,32,0,10.0,N2V,0.1,LFR,None,True,0.999665230495859,1.0,4,1,RANDOM,0.5
250,2.1,1.0,0.9961501443695862,0.9998553938108551,32,0,10.0,N2V,0.1,LFR,None,False,0.9998465921383537,1.0,0,4,RANDOM,0.55
250,2.1,1.0,0.9939965694682675,0.9996204542779805,32,0,10.0,N2V,0.1,LFR,None,False,0.9996328181522541,1.0,1,4,RANDOM,0.5
250,2.1,1.0,0.9942816297355254,0.9988003220941021,32,0,10.0,N2V,0.1,LFR,None,False,0.9991790171262883,1.0,4,2,RANDOM,0.4
250,2.1,1.0,0.9955527318932655,0.9998482323917283,32,0,10.0,N2V,0.1,LFR,None,True,0.9998595342371267,1.0,1,1,RANDOM,0.35
250,2.1,1.0,0.9922480620155039,0.9974846133261975,32,0,10.0,N2V,0.1,LFR,None,False,0.9982443397387385,1.0,2,1,RANDOM,0.85
250,2.1,1.0,0.9914285714285714,0.9996078431372549,32,0,10.0,N2V,0.1,LFR,None,True,0.9996110811515425,1.0,4,3,RANDOM,0.85
250,2.1,1.0,0.9988864142538976,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,3,3,RANDOM,0.6
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,0,5,RANDOM,0.95
250,2.1,1.0,0.9937034917000572,0.9992408508763649,32,0,10.0,N2V,0.1,LFR,None,False,0.9993136941642334,1.0,1,2,RANDOM,0.25
250,2.1,1.0,0.983402489626556,0.9959310344827588,32,0,10.0,N2V,0.1,LFR,None,True,0.9968048275698641,1.0,3,2,RANDOM,0.9
250,2.1,1.0,0.9973103819257665,0.9999791656538859,32,0,10.0,N2V,0.1,LFR,None,False,0.999978958000595,1.0,0,5,RANDOM,0.2
250,2.1,1.0,0.9966442953020134,0.9993261127698027,32,0,10.0,N2V,0.1,LFR,None,False,0.9993133710265673,1.0,2,5,RANDOM,0.35
250,2.1,1.0,0.9927360774818402,0.9998019656740502,32,0,10.0,N2V,0.1,LFR,None,True,0.9998121301165728,1.0,4,4,RANDOM,0.3
250,2.1,1.0,0.9957894736842106,0.9996453523424478,32,0,10.0,N2V,0.1,LFR,None,False,0.9996813854814217,1.0,2,4,RANDOM,0.4
250,2.1,1.0,0.9977220956719818,0.9985944611646895,32,0,10.0,N2V,0.1,LFR,None,True,0.9985968162715122,1.0,4,3,RANDOM,0.25
250,2.1,1.0,0.9980750721847931,0.9999944414644518,32,0,10.0,N2V,0.1,LFR,None,True,0.9999943443934591,1.0,1,5,RANDOM,0.1
250,2.1,1.0,0.98989898989899,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,2,4,RANDOM,0.95
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,3,3,RANDOM,0.65
250,2.1,1.0,0.9913269731136166,0.9986820725762773,32,0,10.0,N2V,0.1,LFR,None,False,0.9987798301147036,1.0,4,2,RANDOM,0.5
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,4,3,RANDOM,0.55
250,2.1,1.0,0.994269340974212,0.9997272258688404,32,0,10.0,N2V,0.1,LFR,None,True,0.9997432242977066,1.0,0,4,RANDOM,0.1
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,0,5,RANDOM,0.85
250,2.1,1.0,0.9983561643835617,0.9999495564571338,32,0,10.0,N2V,0.1,LFR,None,True,0.9999523184631097,1.0,4,3,RANDOM,0.2
250,2.1,1.0,0.9938167509836987,0.9994829983567184,32,0,10.0,N2V,0.1,LFR,None,False,0.9995256812586925,1.0,1,1,RANDOM,0.25
250,2.1,1.0,0.9982683982683983,0.999976010986968,32,0,10.0,N2V,0.1,LFR,None,True,0.9999756180079122,1.0,4,5,RANDOM,0.5
250,2.1,1.0,0.9919354838709677,0.9987187700192184,32,0,10.0,N2V,0.1,LFR,None,True,0.9985868166259566,1.0,4,2,RANDOM,0.8
250,2.1,1.0,0.9960132890365448,0.9992141335866943,32,0,10.0,N2V,0.1,LFR,None,True,0.999473959597739,1.0,3,2,RANDOM,0.35
250,2.1,1.0,0.9971611071682044,0.9999476005062596,32,0,10.0,N2V,0.1,LFR,None,False,0.9999461779761328,1.0,0,5,RANDOM,0.4
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,0,3,RANDOM,0.7
250,2.1,1.0,0.9981132075471698,0.9999732960902806,32,0,10.0,N2V,0.1,LFR,None,False,0.9999732875397561,1.0,0,3,RANDOM,0.1
250,2.1,1.0,0.9983050847457627,0.9999655255627952,32,0,10.0,N2V,0.1,LFR,None,False,0.9999656162774518,1.0,2,3,RANDOM,0.5
250,2.1,1.0,0.9940891993551854,0.9997747419929441,32,0,10.0,N2V,0.1,LFR,None,True,0.999772197953214,1.0,2,4,RANDOM,0.2
250,2.1,1.0,0.9946207638515331,0.9994293056745306,32,0,10.0,N2V,0.1,LFR,None,True,0.9994609677650744,1.0,1,2,RANDOM,0.2
250,2.1,1.0,0.996694214876033,0.9999671951886276,32,1,10.0,N2V,0.1,LFR,None,True,0.9999688658435747,1.0,0,1,RANDOM,0.75
250,2.1,1.0,0.9982588508415554,0.9999905678173929,32,0,10.0,N2V,0.1,LFR,None,False,0.9999907235049191,1.0,4,5,RANDOM,0.25
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,0,3,RANDOM,0.8
250,2.1,1.0,0.9963177275118359,0.9997596750186059,32,0,10.0,N2V,0.1,LFR,None,True,0.9997730719436343,1.0,1,1,RANDOM,0.2
250,2.1,1.0,0.9915966386554622,0.9990068808966446,32,0,10.0,N2V,0.1,LFR,None,True,0.9992153906293628,1.0,1,4,RANDOM,0.9
250,2.1,1.0,0.9950980392156863,0.9996170337385768,32,0,10.0,N2V,0.1,LFR,None,True,0.9996346460633799,1.0,1,4,RANDOM,0.3
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,4,5,RANDOM,0.8
250,2.1,1.0,0.9984193888303478,0.999365417414323,32,0,10.0,N2V,0.1,LFR,None,False,0.9993723827840256,1.0,1,3,RANDOM,0.2
250,2.1,1.0,0.9959839357429718,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,1,5,RANDOM,0.9
250,2.1,1.0,0.9913544668587896,0.9960467743007109,32,0,10.0,N2V,0.1,LFR,None,False,0.9976194455292119,1.0,0,1,RANDOM,0.85
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,2,3,RANDOM,0.75
250,2.1,1.0,0.9977272727272727,0.9987641470936149,32,0,10.0,N2V,0.1,LFR,None,True,0.9987875533774527,1.0,0,3,RANDOM,0.25
250,2.1,1.0,0.9959839357429718,0.9999354588873113,32,0,10.0,N2V,0.1,LFR,None,False,0.9999330868745399,1.0,1,5,RANDOM,0.9
250,2.1,1.0,0.9941176470588236,0.9986025301559283,32,0,10.0,N2V,0.1,LFR,None,False,0.9988915355099083,1.0,1,2,RANDOM,0.5
250,2.1,1.0,0.9908925318761385,0.9993092271314328,32,0,10.0,N2V,0.1,LFR,None,False,0.999334946089518,1.0,1,4,RANDOM,0.75
250,2.1,1.0,0.9956458635703919,0.9999051946984876,32,0,10.0,N2V,0.1,LFR,None,True,0.99990438866339,1.0,1,1,RANDOM,0.4
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,3,5,RANDOM,0.8
250,2.1,1.0,0.9944852941176471,0.9996110176619007,32,0,10.0,N2V,0.1,LFR,None,True,0.999593186660467,1.0,3,4,RANDOM,0.3
250,2.1,1.0,0.9991142604074402,0.9999811699723826,32,0,10.0,N2V,0.1,LFR,None,False,0.9999807985758352,1.0,1,5,RANDOM,0.5
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,4,3,RANDOM,0.5
250,2.1,1.0,0.9938775510204082,0.9997330842119312,32,0,10.0,N2V,0.1,LFR,None,False,0.9997066148952013,1.0,3,1,RANDOM,0.8
250,2.1,1.0,0.9886201991465149,0.9994331065759637,32,0,10.0,N2V,0.1,LFR,None,False,0.9994290729852361,1.0,1,4,RANDOM,0.7
250,2.1,1.0,0.9983792544570502,0.9997898193760262,32,0,10.0,N2V,0.1,LFR,None,True,0.9997691592391913,1.0,1,3,RANDOM,0.45
250,2.1,1.0,0.9992101105845181,0.9999925128965357,32,0,10.0,N2V,0.1,LFR,None,True,0.9999925069607076,1.0,3,5,RANDOM,0.45
250,2.1,1.0,0.98,0.998792270531401,32,0,10.0,N2V,0.1,LFR,None,True,0.9990166388192703,1.0,0,2,RANDOM,0.95
250,2.1,1.0,0.9965899403239556,0.998246634293856,32,0,10.0,N2V,0.1,LFR,None,True,0.9982940357501071,1.0,2,5,RANDOM,0.5
250,2.1,1.0,0.995164410058027,0.9987376622403686,32,0,10.0,N2V,0.1,LFR,None,False,0.999136394559784,1.0,2,2,RANDOM,0.55
250,2.1,1.0,0.9951100244498777,0.9991899857126632,32,0,10.0,N2V,0.1,LFR,None,True,0.9993836212902082,1.0,1,2,RANDOM,0.3
250,2.1,1.0,0.9960518894529047,0.9994579338882936,32,0,10.0,N2V,0.1,LFR,None,True,0.999541442656293,1.0,2,1,RANDOM,0.25
250,2.1,1.0,0.9973118279569892,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,3,1,RANDOM,0.85
250,2.1,1.0,0.9925558312655087,0.9991980579999133,32,0,10.0,N2V,0.1,LFR,None,False,0.9992265645283606,1.0,4,2,RANDOM,0.15
250,2.1,1.0,0.994005994005994,0.9996277315075875,32,0,10.0,N2V,0.1,LFR,None,False,0.999676741358267,1.0,3,1,RANDOM,0.15
250,2.1,1.0,0.9964209019327129,0.9991104771040087,32,0,10.0,N2V,0.1,LFR,None,True,0.9994125703166449,1.0,4,1,RANDOM,0.4
250,2.1,1.0,0.9942561746122918,0.999578987934507,32,0,10.0,N2V,0.1,LFR,None,False,0.9996150608245274,1.0,1,4,RANDOM,0.25
250,2.1,1.0,0.9895882631329863,0.9983945385642229,32,0,10.0,N2V,0.1,LFR,None,False,0.9986742069435145,1.0,0,2,RANDOM,0.1
250,2.1,1.0,0.9973794549266247,0.9993103789344118,32,0,10.0,N2V,0.1,LFR,None,True,0.9992580706787038,1.0,3,3,RANDOM,0.2
250,2.1,1.0,0.9976331360946745,0.9999943977591037,32,0,10.0,N2V,0.1,LFR,None,False,0.9999944701658626,1.0,0,5,RANDOM,0.65
250,2.1,1.0,0.9971988795518207,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0000000000000002,1.0,0,2,RANDOM,0.85
250,2.1,1.0,0.9919354838709677,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0000000000000002,1.0,3,5,RANDOM,0.95
250,2.1,1.0,0.991044776119403,0.999287089185143,32,0,10.0,N2V,0.1,LFR,None,True,0.9992593848334624,1.0,2,2,RANDOM,0.85
250,2.1,1.0,0.9956584659913169,0.9998574139503675,32,0,10.0,N2V,0.1,LFR,None,True,0.9998437967951764,1.0,4,4,RANDOM,0.4
250,2.1,1.0,0.9933906146728354,0.9995648526790395,32,0,10.0,N2V,0.1,LFR,None,True,0.9996062445646487,1.0,3,4,RANDOM,0.35
250,2.1,1.0,0.9942408376963351,0.9990525536639526,32,0,10.0,N2V,0.1,LFR,None,False,0.9993604003049543,1.0,4,1,RANDOM,0.2
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,3,3,RANDOM,0.75
250,2.1,1.0,0.9948275862068966,0.999946490839529,32,0,10.0,N2V,0.1,LFR,None,True,0.9999474554266555,1.0,0,4,RANDOM,0.5
250,2.1,1.0,0.9924812030075187,0.9984308736217133,32,0,10.0,N2V,0.1,LFR,None,False,0.9982979767876788,1.0,3,2,RANDOM,0.75
250,2.1,1.0,0.9987745098039216,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,3,3,RANDOM,0.65
250,2.1,1.0,0.9954044117647058,0.9994153963646439,32,0,10.0,N2V,0.1,LFR,None,False,0.9995143093700378,1.0,0,1,RANDOM,0.55
250,2.1,1.0,0.9957957957957958,0.9997977591716216,32,0,10.0,N2V,0.1,LFR,None,False,0.9997995639598178,1.0,3,1,RANDOM,0.3
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999996,1.0,2,5,RANDOM,0.9
250,2.1,1.0,0.9969325153374233,0.999097814759139,32,0,10.0,N2V,0.1,LFR,None,True,0.9991168352268984,1.0,4,3,RANDOM,0.45
250,2.1,1.0,0.9928994082840237,0.9991368487131198,32,0,10.0,N2V,0.1,LFR,None,False,0.9992489455062209,1.0,4,2,RANDOM,0.65
250,2.1,1.0,0.9973118279569892,0.9999710270896712,32,0,10.0,N2V,0.1,LFR,None,False,0.999968170352988,1.0,3,1,RANDOM,0.85
250,2.1,1.0,0.9935240151106314,0.9992772629247537,32,0,10.0,N2V,0.1,LFR,None,True,0.9994285055054586,1.0,3,2,RANDOM,0.2
250,2.1,1.0,0.9944250871080139,0.99962310630345,32,0,10.0,N2V,0.1,LFR,None,True,0.9996496651243669,1.0,1,2,RANDOM,0.4
250,2.1,1.0,0.9946409431939979,0.9999264164827079,32,0,10.0,N2V,0.1,LFR,None,False,0.9999232178805673,1.0,4,5,RANDOM,0.6
250,2.1,1.0,0.9947990543735225,0.9994563176249665,32,0,10.0,N2V,0.1,LFR,None,False,0.9995271128843904,1.0,3,1,RANDOM,0.1
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,4,3,RANDOM,0.95
250,2.1,1.0,0.9943214082907439,0.9994827394941941,32,0,10.0,N2V,0.1,LFR,None,True,0.9995316791609573,1.0,0,1,RANDOM,0.25
250,2.1,1.0,0.9987608426270136,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,1,3,RANDOM,0.65
250,2.1,1.0,0.9924705882352941,0.9992820482839138,32,0,10.0,N2V,0.1,LFR,None,False,0.9993782225940696,1.0,1,2,RANDOM,0.1
250,2.1,1.0,0.9946120689655172,0.9999441878636509,32,0,10.0,N2V,0.1,LFR,None,False,0.9999481317679372,1.0,1,5,RANDOM,0.6
250,2.1,1.0,0.9993265993265993,0.9999981859871132,32,0,10.0,N2V,0.1,LFR,None,False,0.999998218660335,1.0,1,5,RANDOM,0.35
250,2.1,1.0,0.9983471074380166,1.0,32,4,10.0,N2V,0.1,LFR,None,True,1.0,1.0,0,1,RANDOM,0.75
250,2.1,1.0,0.9991624790619765,0.9999971934472607,32,0,10.0,N2V,0.1,LFR,None,False,0.999997100291495,1.0,3,3,RANDOM,0.5
250,2.1,1.0,0.999213217938631,0.999212559429477,32,0,10.0,N2V,0.1,LFR,None,False,0.9991962830290192,1.0,0,5,RANDOM,0.45
250,2.1,1.0,0.9968228752978554,0.9988719755317109,32,0,10.0,N2V,0.1,LFR,None,False,0.9991575831651703,1.0,3,2,RANDOM,0.45
250,2.1,1.0,0.998911860718172,1.0,32,0,10.0,N2V,0.1,LFR,None,False,0.9999999999999999,1.0,2,3,RANDOM,0.6
250,2.1,1.0,0.9903334944417593,0.9925930805832465,32,0,10.0,N2V,0.1,LFR,None,False,0.9929839852144797,1.0,4,4,RANDOM,0.1
250,2.1,1.0,0.998911860718172,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,2,3,RANDOM,0.6
250,2.1,1.0,0.9954188481675392,0.9995408568844055,32,0,10.0,N2V,0.1,LFR,None,True,0.9995887151364977,1.0,0,1,RANDOM,0.35
250,2.1,1.0,0.9951325040562466,0.9993841110005269,32,0,10.0,N2V,0.1,LFR,None,True,0.9993435344940406,1.0,2,3,RANDOM,0.2
250,2.1,1.0,0.9932598039215687,0.9985972184674536,32,0,10.0,N2V,0.1,LFR,None,True,0.9989900949341377,1.0,1,1,RANDOM,0.3
250,2.1,1.0,0.9957761351636748,0.9999598250156235,32,0,10.0,N2V,0.1,LFR,None,False,0.9999622192217014,1.0,4,2,RANDOM,0.6
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,False,0.9999999999999998,1.0,3,3,RANDOM,0.85
250,2.1,1.0,0.9987819732034104,0.9999658774466242,32,0,10.0,N2V,0.1,LFR,None,True,0.999965717984769,1.0,3,5,RANDOM,0.3
250,2.1,1.0,0.9977220956719818,0.9992310417729258,32,0,10.0,N2V,0.1,LFR,None,False,0.9992314885083835,1.0,4,3,RANDOM,0.25
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,1.0,1.0,2,3,RANDOM,0.9
250,2.1,1.0,0.9958071278825996,0.9994154565591927,32,0,10.0,N2V,0.1,LFR,None,True,0.9994786854563175,1.0,2,2,RANDOM,0.6
250,2.1,1.0,0.9978858350951374,0.999976153002337,32,0,10.0,N2V,0.1,LFR,None,True,0.9999751470647138,1.0,1,5,RANDOM,0.4
250,2.1,1.0,0.9956896551724138,0.9988767934136188,32,0,10.0,N2V,0.1,LFR,None,False,0.9989140498234018,1.0,1,5,RANDOM,0.2
250,2.1,1.0,0.9984202211690363,0.9999950085976905,32,0,10.0,N2V,0.1,LFR,None,False,0.9999950203946038,1.0,3,5,RANDOM,0.45
250,2.1,1.0,0.9953703703703703,0.9973236639903307,32,0,10.0,N2V,0.1,LFR,None,False,0.9962517893828398,1.0,0,3,RANDOM,0.9
250,2.1,1.0,0.9944954128440368,0.999767657992565,32,0,10.0,N2V,0.1,LFR,None,True,0.9997836014714089,1.0,2,1,RANDOM,0.55
