,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,drosophila,1,2,{'imb'},0.05,2.694968824085843,[0.],0.9297118061241199,0.5,0.9648559030620599,-1.0
1,drosophila,1,2,{'imb'},0.05,2.4649624171728837,[0.],0.9305117384356947,0.5,0.9652558692178473,-1.0
2,drosophila,1,2,{'imb'},0.05,2.52844848805854,[0.],0.9302706465217213,0.5,0.9651353232608606,-1.0
3,drosophila,1,2,{'imb'},0.05,2.6761442058555374,[0.],0.9297801030000817,0.5,0.9648900515000409,-1.0
4,drosophila,1,2,{'imb'},0.05,2.4133797565308273,[0.],0.9307345096430036,0.5,0.9653672548215018,-1.0
5,drosophila,1,2,{'imb'},0.05,2.649299836232603,[0.],0.929853314758666,0.5,0.9649266573793329,-1.0
6,drosophila,1,2,{'imb'},0.05,2.655442645983101,[0.],0.9298260013131976,0.5,0.9649130006565988,-1.0
7,drosophila,1,2,{'imb'},0.05,2.435623867720683,[0.],0.9305935699987744,0.5,0.9652967849993872,-1.0
8,drosophila,1,2,{'imb'},0.05,2.513242354997793,[0.],0.9303219999181703,0.5,0.9651609999590851,-1.0
9,drosophila,1,2,{'imb'},0.05,2.6835758653703894,[0.],0.929746990911324,0.5,0.9648734954556619,-1.0
10,drosophila,1,2,{'imb'},0.14,2.5720746839507345,[0.],0.9302283436027546,0.5,0.9651141718013774,-1.0
11,drosophila,1,2,{'imb'},0.14,2.593342172618101,[0.],0.9300004516099896,0.5,0.9650002258049948,-1.0
12,drosophila,1,2,{'imb'},0.14,2.6048414090688436,[0.],0.9298777727478497,0.5,0.9649388863739248,-1.0
13,drosophila,1,2,{'imb'},0.14,2.541417459002636,[0.],0.9305630997646207,0.5,0.9652815498823104,-1.0
14,drosophila,1,2,{'imb'},0.14,2.5721323676049908,[0.],0.9302262443438915,0.5,0.9651131221719458,-1.0
15,drosophila,1,2,{'imb'},0.14,2.610155273839283,[0.],0.9298205871692642,0.5,0.9649102935846321,-1.0
16,drosophila,1,2,{'imb'},0.14,2.473287094288668,[0.],0.9313614299324049,0.5,0.9656807149662024,-1.0
17,drosophila,1,2,{'imb'},0.14,2.6820503420990938,[0.],0.9290799437718225,0.5,0.9645399718859112,-1.0
18,drosophila,1,2,{'imb'},0.14,2.5525751283525597,[0.],0.9304410832352142,0.5,0.9652205416176072,-1.0
19,drosophila,1,2,{'imb'},0.14,2.675377340539508,[0.],0.9291803870269295,0.5,0.9645901935134648,-1.0
20,drosophila,1,2,{'imb'},0.22999999999999998,2.56411464685257,[0.],0.9305163372327552,0.5,0.9652581686163776,-1.0
21,drosophila,1,2,{'imb'},0.22999999999999998,2.594469697422091,[0.],0.9299247208609104,0.5,0.9649623604304551,-1.0
22,drosophila,1,2,{'imb'},0.22999999999999998,2.55783910449727,[0.],0.9306519426574135,0.5,0.9653259713287068,-1.0
23,drosophila,1,2,{'imb'},0.22999999999999998,2.5188924777248958,[0.],0.9314164862279067,0.5,0.9657082431139534,-1.0
24,drosophila,1,2,{'imb'},0.22999999999999998,2.5748470639070113,[0.],0.9303090072320842,0.5,0.965154503616042,-1.0
