system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
euair,1-2,0.05,HOPE,0.7065491183879093,0.8015732047703629,0.8819712954740513,1.5024082478729655,53.62223379389766,-26.10851848328038
euair,1-3,0.05,HOPE,0.5951417004048583,0.7907179520926558,0.7704562952526924,1.053392449671979,16.795449615524326,-28.203059233899058
euair,2-3,0.05,HOPE,0.6910866910866911,0.7292091388400703,0.586028336819808,0.030213376883641722,47.54940393199331,-26.500397785960143
euair,1-2,0.05,HOPE,0.707808564231738,0.7744661921708185,0.8613205926531322,1.3258128475607072,20.39730141196763,-26.173850182572824
euair,1-3,0.05,HOPE,0.5364372469635628,0.7513703027011013,0.7336386331826512,0.6409785345195761,5.91684664957491,-17.70602070376093
euair,2-3,0.05,HOPE,0.7655677655677655,0.7774340949033391,0.5652902112384202,-0.22038749810594765,-7.655085283858504,-33.78480978238312
euair,1-2,0.05,HOPE,0.7229219143576826,0.8075861379591396,0.8893807684847348,1.197924196047327,-20.263200786622804,-22.223642547001127
euair,1-3,0.05,HOPE,0.5587044534412956,0.7510411008509869,0.7205351123192021,0.7514519821855813,-9.330869658333915,-14.528643115303076
euair,2-3,0.05,HOPE,0.7423687423687424,0.737409516862129,0.5727297551207438,-0.12024898097821117,21.440968006010394,-24.426211077283714
euair,1-2,0.05,HOPE,0.7090680100755667,0.8207500019222932,0.9013274580334741,1.272520648761346,57.37960495897191,-27.192975345444232
euair,1-3,0.05,HOPE,0.6093117408906883,0.784060046417461,0.7791418639909687,0.7784341989697946,48.89345612894675,-20.978168363501553
euair,2-3,0.05,HOPE,0.7582417582417582,0.7855830200325459,0.5802054961760401,-0.2850938210715481,23.49682102920929,-37.77927757658302
euair,1-2,0.10,HOPE,0.7901726427622842,0.8624578865459271,0.9235580811640958,0.6638576493157734,14.150848497081968,-26.758452255821776
euair,1-3,0.10,HOPE,0.7665952890792291,0.8234276034762115,0.8200821166094217,0.7990111281693902,31.517522198789717,-27.77457921566722
