,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
0,1000,10.0,10.0,,,,,,,,
1,1000,10.0,10.0,0.1,0.0,9.207612356411484,0.47455811462238884,0.4577918659017189,0.458867958594888,0.0580073818564415,0.05800819396972656
2,1000,10.0,10.0,0.2,0.0,9.928364081527368,0.44126786824114356,0.4151273359408953,0.4341536080743683,0.021752533968538046,0.02175307273864746
3,1000,10.0,10.0,0.30000000000000004,0.0,8.384613300074522,0.4392197840473703,0.4107811688658323,0.4374326524622596,0.022254799958318472,0.02225494384765625
4,1000,10.0,10.0,0.4,0.0,7.167196975880632,0.43725335438042623,0.401051877462661,0.42537019394659376,0.02102274913340807,0.021023035049438477
5,1000,10.0,10.0,0.5,0.0,5.964046330302908,0.40076701821668265,0.360585961380236,0.41300222923987207,0.020851114066317677,0.02085137367248535
6,1000,10.0,10.0,0.6000000000000001,0.0,4.537493104672693,0.39964264443120906,0.3564223244455802,0.3917286236909491,0.019678031094372272,0.019678592681884766
7,1000,10.0,10.0,0.7000000000000001,0.0,3.770433470479681,0.380479735318445,0.3363693587673445,0.39915992000605804,0.019819880835711956,0.019820690155029297
8,1000,10.0,10.0,0.8,0.0,3.1352429358353735,0.3709677419354839,0.3173898547861306,0.36049456375125505,0.01946066995151341,0.019461393356323242
9,1000,10.0,10.0,0.9,0.0,2.61831860323057,0.38369304556354916,0.3155185973353072,0.34788458449435844,0.01864388003014028,0.018644094467163086
10,1000,10.0,10.0,,,,,,,,
11,1000,10.0,10.0,0.1,0.0,9.201475954103788,0.47046244319700614,0.4529347223881893,0.450206851176292,0.022562345024198294,0.02256321907043457
12,1000,10.0,10.0,0.2,0.0,9.579594920224231,0.4473046638400969,0.4246225632669838,0.43498997129477746,0.022339272079989314,0.022339820861816406
13,1000,10.0,10.0,0.30000000000000004,0.0,8.479693577925529,0.42857142857142855,0.3927893138715199,0.4259541491305545,0.021745941136032343,0.02174663543701172
14,1000,10.0,10.0,0.4,0.0,6.817743316991333,0.41300813008130083,0.38456499739903327,0.4168757326783379,0.08074699295684695,0.08074760437011719
15,1000,10.0,10.0,0.5,0.0,6.0090144421509235,0.41647277803629595,0.37394773816763077,0.4048586623541123,0.021073721814900637,0.021074295043945312
16,1000,10.0,10.0,0.6000000000000001,0.0,4.490412574959871,0.4033047735618115,0.3667101475350846,0.40050310441763287,0.019799540052190423,0.01979994773864746
17,1000,10.0,10.0,0.7000000000000001,0.0,3.643303474616418,0.3809135399673736,0.3244784637539962,0.38172562941130683,0.019175546942278743,0.019176006317138672
18,1000,10.0,10.0,0.8,0.0,3.0752969663677403,0.3586698337292161,0.31672921192968595,0.3770312445128413,0.019839211832731962,0.019839763641357422
19,1000,10.0,10.0,0.9,0.0,2.5460069913873844,0.35074626865671643,0.3020179983637851,0.394608267214261,0.01861916994675994,0.018619775772094727
20,1000,10.0,10.0,,,,,,,,
21,1000,10.0,10.0,0.1,0.0,9.23019668052025,0.47022532188841204,0.4495249529271537,0.4665771026106651,0.022209458984434605,0.022209882736206055
22,1000,10.0,10.0,0.2,0.0,10.043973463873835,0.44771634615384615,0.4279190886965996,0.4505225995386255,0.021849884185940027,0.0218503475189209
23,1000,10.0,10.0,0.30000000000000004,0.0,8.324978407196957,0.4332191780821918,0.4030432135764612,0.43935118724777705,0.02120305597782135,0.021203994750976562
24,1000,10.0,10.0,0.4,0.0,6.858561667916923,0.43083630598493855,0.3979362689040108,0.4449891125597901,0.02127136313356459,0.021271944046020508
25,1000,10.0,10.0,0.5,0.0,5.655548224015134,0.41367604267701263,0.3687443502824859,0.42568772991426884,0.020965171046555042,0.020965576171875
26,1000,10.0,10.0,0.6000000000000001,0.0,4.610439250956243,0.396644697423607,0.353495342803063,0.42381087021966746,0.020253557013347745,0.02025437355041504
27,1000,10.0,10.0,0.7000000000000001,0.0,3.69836913246272,0.3943548387096774,0.3497166748186615,0.4013567421956238,0.019412772031500936,0.019413232803344727
28,1000,10.0,10.0,0.8,0.0,3.1656467313679144,0.4155688622754491,0.3598047660063164,0.4184979099604021,0.01904242904856801,0.0190432071685791
29,1000,10.0,10.0,0.9,0.0,2.584165201816466,0.40939597315436244,0.34412886391007624,0.4205438880038407,0.08185124909505248,0.08185172080993652
30,1000,10.0,10.0,,,,,,,,
31,1000,10.0,10.0,0.1,0.0,9.070517445742563,0.47036535859269285,0.45174906083712807,0.45623341945433976,0.021967762848362327,0.021968364715576172
32,1000,10.0,10.0,0.2,0.0,9.444719522417081,0.44918636782315013,0.4233761384850371,0.4361303688012061,0.021322254789993167,0.02132272720336914
33,1000,10.0,10.0,0.30000000000000004,0.0,8.239839832341216,0.438158819395643,0.40853480841344925,0.433045323714607,0.02133645908907056,0.021336793899536133
34,1000,10.0,10.0,0.4,0.0,6.903385211476256,0.43548387096774194,0.3871384638540822,0.4190274265786025,0.020786122884601355,0.020786523818969727
35,1000,10.0,10.0,0.5,0.0,5.294537109620505,0.41416100872938894,0.37065297608289655,0.40022329735838985,0.021389334928244352,0.021390199661254883
36,1000,10.0,10.0,0.6000000000000001,0.0,4.387816655138299,0.41325898389095417,0.3621512659248508,0.4009293318473056,0.019813081016764045,0.01981377601623535
37,1000,10.0,10.0,0.7000000000000001,0.0,3.7223381964919864,0.40683229813664595,0.3481710301986799,0.3940154701350218,0.019396226853132248,0.01939678192138672
38,1000,10.0,10.0,0.8,0.0,3.01562880065805,0.3817733990147783,0.33161902217472616,0.3799271548009604,0.01924253604374826,0.01924300193786621
39,1000,10.0,10.0,0.9,0.0,2.56517526276607,0.4187192118226601,0.36747572815533985,0.4206880400694796,0.018179835053160787,0.018180370330810547
40,1000,10.0,10.0,,,,,,,,
41,1000,10.0,10.0,0.1,0.0,9.544821194989792,0.4696969696969697,0.45237809368882353,0.4578010010164719,0.0822910729330033,0.0822916030883789
42,1000,10.0,10.0,0.2,0.0,9.993817620975777,0.4592705167173252,0.4336611234294161,0.4483380434694978,0.022134250961244106,0.022134780883789062
43,1000,10.0,10.0,0.30000000000000004,0.0,8.692871925745935,0.4454732510288066,0.4144734737202662,0.43027137298045576,0.02248039492405951,0.02248072624206543
44,1000,10.0,10.0,0.4,0.0,6.3367806314322515,0.4406497292794669,0.4023065873748343,0.4313440019684069,0.02115949708968401,0.021159887313842773
45,1000,10.0,10.0,0.5,0.0,5.6485986542762525,0.4091778202676864,0.37805309459474284,0.40828584694832404,0.020496745128184557,0.02049732208251953
46,1000,10.0,10.0,0.6000000000000001,0.0,4.399672858802064,0.4042042042042042,0.35993801187817087,0.4051105317781571,0.020149107091128826,0.02014946937561035
47,1000,10.0,10.0,0.7000000000000001,0.0,3.7111787152174394,0.37470355731225297,0.32732875,0.3935941760486493,0.01943724090233445,0.019437789916992188
48,1000,10.0,10.0,0.8,0.0,3.1427106682642103,0.3836104513064133,0.3432677649512346,0.36772973500428746,0.019573833094909787,0.01957416534423828
49,1000,10.0,10.0,0.9,0.0,2.5233587333475125,0.36180904522613067,0.308926045665791,0.37553051420636685,0.01898835808970034,0.018988847732543945
50,1000,10.0,10.0,,,,,,,,
51,1000,10.0,10.0,0.1,0.0,9.256966929404703,0.4778231292517007,0.4617122347162309,0.47033270593921445,0.022014273097738624,0.022014856338500977
52,1000,10.0,10.0,0.2,0.0,9.970486409052098,0.4459046454767726,0.4232686530356022,0.4348992683447843,0.021789347985759377,0.02178955078125
