system,layers,theta,auroc
celegans,1-2,0.55,0.73
celegans,1-2,0.60,0.74
celegans,1-2,0.65,0.75
celegans,1-2,0.70,0.71
celegans,1-2,0.75,0.71
celegans,1-2,0.80,0.78
celegans,1-2,0.85,0.82
celegans,1-2,0.90,0.76
celegans,1-2,0.95,0.85
celegans,1-2,0.00,0.51
celegans,1-2,0.05,0.54
celegans,1-2,0.10,0.58
celegans,1-2,0.15,0.62
celegans,1-2,0.20,0.63
celegans,1-2,0.25,0.65
celegans,1-2,0.30,0.67
celegans,1-2,0.35,0.68
celegans,1-2,0.40,0.69
celegans,1-2,0.45,0.69
celegans,1-2,0.50,0.71
celegans,1-2,0.55,0.66
celegans,1-2,0.60,0.68
celegans,1-2,0.65,0.74
celegans,1-2,0.70,0.74
celegans,1-2,0.75,0.74
celegans,1-2,0.80,0.74
celegans,1-2,0.85,0.78
celegans,1-2,0.90,0.83
celegans,1-2,0.95,0.89
drosophila,1-2,0.00,0.57
drosophila,1-2,0.05,0.62
drosophila,1-2,0.10,0.72
drosophila,1-2,0.15,0.78
drosophila,1-2,0.20,0.80
drosophila,1-2,0.25,0.81
drosophila,1-2,0.30,0.84
drosophila,1-2,0.35,0.86
drosophila,1-2,0.40,0.86
drosophila,1-2,0.45,0.86
drosophila,1-2,0.50,0.87
drosophila,1-2,0.55,0.88
drosophila,1-2,0.60,0.88
drosophila,1-2,0.65,0.88
drosophila,1-2,0.70,0.88
drosophila,1-2,0.75,0.90
drosophila,1-2,0.80,0.88
drosophila,1-2,0.85,0.90
drosophila,1-2,0.90,0.92
drosophila,1-2,0.95,0.91
drosophila,1-2,0.00,0.51
drosophila,1-2,0.05,0.68
drosophila,1-2,0.10,0.72
drosophila,1-2,0.15,0.75
drosophila,1-2,0.20,0.78
drosophila,1-2,0.25,0.80
drosophila,1-2,0.30,0.82
drosophila,1-2,0.35,0.84
drosophila,1-2,0.40,0.84
drosophila,1-2,0.45,0.86
drosophila,1-2,0.50,0.86
drosophila,1-2,0.55,0.87
drosophila,1-2,0.60,0.88
drosophila,1-2,0.65,0.88
drosophila,1-2,0.70,0.89
drosophila,1-2,0.75,0.89
drosophila,1-2,0.80,0.90
drosophila,1-2,0.85,0.87
drosophila,1-2,0.90,0.90
drosophila,1-2,0.95,0.92
drosophila,1-2,0.00,0.52
drosophila,1-2,0.05,0.60
drosophila,1-2,0.10,0.71
drosophila,1-2,0.15,0.77
drosophila,1-2,0.20,0.78
drosophila,1-2,0.25,0.80
drosophila,1-2,0.30,0.83
drosophila,1-2,0.35,0.85
drosophila,1-2,0.40,0.84
drosophila,1-2,0.45,0.85
drosophila,1-2,0.50,0.86
drosophila,1-2,0.55,0.87
drosophila,1-2,0.60,0.87
drosophila,1-2,0.65,0.87
drosophila,1-2,0.70,0.89
drosophila,1-2,0.75,0.89
drosophila,1-2,0.80,0.91
drosophila,1-2,0.85,0.88
drosophila,1-2,0.90,0.91
drosophila,1-2,0.95,0.89
drosophila,1-2,0.00,0.50
drosophila,1-2,0.05,0.65
drosophila,1-2,0.10,0.70
drosophila,1-2,0.15,0.76
drosophila,1-2,0.20,0.80
drosophila,1-2,0.25,0.83
drosophila,1-2,0.30,0.84
drosophila,1-2,0.35,0.84
drosophila,1-2,0.40,0.85
drosophila,1-2,0.45,0.86
drosophila,1-2,0.50,0.87
drosophila,1-2,0.55,0.87
drosophila,1-2,0.60,0.87
drosophila,1-2,0.65,0.87
drosophila,1-2,0.70,0.89
drosophila,1-2,0.75,0.89
drosophila,1-2,0.80,0.89
drosophila,1-2,0.85,0.89
drosophila,1-2,0.90,0.90
drosophila,1-2,0.95,0.89
drosophila,1-2,0.00,0.44
drosophila,1-2,0.05,0.65
drosophila,1-2,0.10,0.74
drosophila,1-2,0.15,0.76
drosophila,1-2,0.20,0.80
drosophila,1-2,0.25,0.81
drosophila,1-2,0.30,0.83
drosophila,1-2,0.35,0.83
drosophila,1-2,0.40,0.85
drosophila,1-2,0.45,0.85
drosophila,1-2,0.50,0.86
drosophila,1-2,0.55,0.88
drosophila,1-2,0.60,0.88
drosophila,1-2,0.65,0.87
drosophila,1-2,0.70,0.89
drosophila,1-2,0.75,0.90
drosophila,1-2,0.80,0.89
drosophila,1-2,0.85,0.91
drosophila,1-2,0.90,0.91
drosophila,1-2,0.95,0.90
arxiv,6-7,0.00,0.49
arxiv,6-7,0.05,0.60
arxiv,6-7,0.10,0.63
arxiv,6-7,0.15,0.66
arxiv,6-7,0.20,0.70
arxiv,6-7,0.25,0.69
arxiv,6-7,0.30,0.70
arxiv,6-7,0.35,0.74
arxiv,6-7,0.40,0.75
arxiv,6-7,0.45,0.78
arxiv,6-7,0.50,0.79
arxiv,6-7,0.55,0.78
arxiv,6-7,0.60,0.80
arxiv,6-7,0.65,0.81
arxiv,6-7,0.70,0.81
arxiv,6-7,0.75,0.83
arxiv,6-7,0.80,0.82
arxiv,6-7,0.85,0.85
arxiv,6-7,0.90,0.82
arxiv,6-7,0.95,0.85
arxiv,6-7,0.00,0.50
arxiv,6-7,0.05,0.60
arxiv,6-7,0.10,0.64
arxiv,6-7,0.15,0.67
arxiv,6-7,0.20,0.70
arxiv,6-7,0.25,0.71
arxiv,6-7,0.30,0.73
arxiv,6-7,0.35,0.74
arxiv,6-7,0.40,0.74
arxiv,6-7,0.45,0.76
arxiv,6-7,0.50,0.78
arxiv,6-7,0.55,0.80
arxiv,6-7,0.60,0.78
arxiv,6-7,0.65,0.81
arxiv,6-7,0.70,0.82
arxiv,6-7,0.75,0.83
arxiv,6-7,0.80,0.85
arxiv,6-7,0.85,0.83
arxiv,6-7,0.90,0.85
arxiv,6-7,0.95,0.84
arxiv,6-7,0.00,0.50
arxiv,6-7,0.05,0.58
arxiv,6-7,0.10,0.65
arxiv,6-7,0.15,0.69
arxiv,6-7,0.20,0.68
arxiv,6-7,0.25,0.72
arxiv,6-7,0.30,0.71
arxiv,6-7,0.35,0.74
arxiv,6-7,0.40,0.76
arxiv,6-7,0.45,0.75
arxiv,6-7,0.50,0.79
arxiv,6-7,0.55,0.77
arxiv,6-7,0.60,0.80
arxiv,6-7,0.65,0.80
arxiv,6-7,0.70,0.83
arxiv,6-7,0.75,0.82
arxiv,6-7,0.80,0.83
arxiv,6-7,0.85,0.84
arxiv,6-7,0.90,0.84
arxiv,6-7,0.95,0.82
arxiv,6-7,0.00,0.51
arxiv,6-7,0.05,0.62
arxiv,6-7,0.10,0.65
arxiv,6-7,0.15,0.67
arxiv,6-7,0.20,0.69
arxiv,6-7,0.25,0.71
arxiv,6-7,0.30,0.73
arxiv,6-7,0.35,0.74
arxiv,6-7,0.40,0.76
arxiv,6-7,0.45,0.76
arxiv,6-7,0.50,0.78
arxiv,6-7,0.55,0.79
arxiv,6-7,0.60,0.79
arxiv,6-7,0.65,0.82
arxiv,6-7,0.70,0.80
arxiv,6-7,0.75,0.81
arxiv,6-7,0.80,0.82
arxiv,6-7,0.85,0.84
arxiv,6-7,0.90,0.87
arxiv,6-7,0.95,0.85
arxiv,6-7,0.00,0.51
arxiv,6-7,0.05,0.60
arxiv,6-7,0.10,0.65
arxiv,6-7,0.15,0.67
arxiv,6-7,0.20,0.71
arxiv,6-7,0.25,0.71
arxiv,6-7,0.30,0.72
arxiv,6-7,0.35,0.72
arxiv,6-7,0.40,0.76
arxiv,6-7,0.45,0.78
arxiv,6-7,0.50,0.78
arxiv,6-7,0.55,0.79
arxiv,6-7,0.60,0.79
arxiv,6-7,0.65,0.81
arxiv,6-7,0.70,0.81
arxiv,6-7,0.75,0.82
arxiv,6-7,0.80,0.83
arxiv,6-7,0.85,0.83
arxiv,6-7,0.90,0.85
arxiv,6-7,0.95,0.81
london,2-3,0.00,0.53
london,2-3,0.05,0.51
london,2-3,0.10,0.48
london,2-3,0.15,0.47
london,2-3,0.20,0.42
london,2-3,0.25,0.52
london,2-3,0.30,0.44
london,2-3,0.35,0.57
london,2-3,0.40,0.52
london,2-3,0.45,0.39
london,2-3,0.50,0.39
london,2-3,0.55,0.50
london,2-3,0.60,0.56
london,2-3,0.65,0.41
london,2-3,0.70,0.55
london,2-3,0.75,0.51
london,2-3,0.80,0.56
london,2-3,0.85,0.45
london,2-3,0.90,0.58
london,2-3,0.95,0.83
london,2-3,0.00,0.52
london,2-3,0.05,0.47
london,2-3,0.10,0.46
london,2-3,0.15,0.54
london,2-3,0.20,0.46
london,2-3,0.25,0.51
london,2-3,0.30,0.62
london,2-3,0.35,0.41
london,2-3,0.40,0.50
london,2-3,0.45,0.49
london,2-3,0.50,0.54
london,2-3,0.55,0.45
london,2-3,0.60,0.39
london,2-3,0.65,0.61
london,2-3,0.70,0.40
london,2-3,0.75,0.67
london,2-3,0.80,0.39
london,2-3,0.85,0.39
london,2-3,0.90,0.63
london,2-3,0.95,0.54
london,2-3,0.00,0.53
london,2-3,0.05,0.55
london,2-3,0.10,0.49
london,2-3,0.15,0.53
london,2-3,0.20,0.46
london,2-3,0.25,0.49
london,2-3,0.30,0.48
london,2-3,0.35,0.48
london,2-3,0.40,0.48
london,2-3,0.45,0.47
london,2-3,0.50,0.42
london,2-3,0.55,0.45
london,2-3,0.60,0.71
london,2-3,0.65,0.51
london,2-3,0.70,0.41
london,2-3,0.75,0.59
london,2-3,0.80,0.63
london,2-3,0.85,0.50
london,2-3,0.90,0.77
london,2-3,0.95,0.60
london,2-3,0.00,0.50
london,2-3,0.05,0.50
london,2-3,0.10,0.52
london,2-3,0.15,0.50
london,2-3,0.20,0.55
london,2-3,0.25,0.46
london,2-3,0.30,0.47
london,2-3,0.35,0.61
london,2-3,0.40,0.44
london,2-3,0.45,0.49
london,2-3,0.50,0.65
london,2-3,0.55,0.34
london,2-3,0.60,0.51
london,2-3,0.65,0.45
london,2-3,0.70,0.46
london,2-3,0.75,0.54
london,2-3,0.80,0.61
london,2-3,0.85,0.45
london,2-3,0.90,0.24
london,2-3,0.95,0.33
london,2-3,0.00,0.51
london,2-3,0.05,0.47
london,2-3,0.10,0.57
london,2-3,0.15,0.42
london,2-3,0.20,0.44
london,2-3,0.25,0.48
london,2-3,0.30,0.43
london,2-3,0.35,0.55
london,2-3,0.40,0.42
london,2-3,0.45,0.60
london,2-3,0.50,0.39
london,2-3,0.55,0.39
london,2-3,0.60,0.35
london,2-3,0.65,0.59
london,2-3,0.70,0.64
london,2-3,0.75,0.53
london,2-3,0.80,0.39
london,2-3,0.85,0.41
london,2-3,0.90,0.67
london,2-3,0.95,0.75
