system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,Isomap,0.1,2.1,1.0,1,0.6739003039958978,0.7036519079614764,0.6538197277216053,-0.0647576128303291,0.0,-15.883385304953737
LFR,0.05,Isomap,0.5,2.1,1.0,1,0.6760129688999982,0.7037372506262425,0.6542699222645879,0.03018214095100972,0.0,-15.384654613412062
LFR,0.05,Isomap,0.3,2.7,1.0,1,0.5893439320121616,0.5995924199258482,0.5712043629848045,-0.00907252520260531,0.0,-9.702156250838913
LFR,0.05,Isomap,0.1,4.0,1.0,1,0.5020683134381279,0.4934497637020262,0.48993038880087375,-0.005014334648567742,0.0,-5.004612866082439
LFR,0.05,Isomap,0.1,2.1,1.0,1,0.6721056294180127,0.6995728933219523,0.6514708270594716,-0.07159671799702105,0.0,-15.633987065570382
LFR,0.05,Isomap,0.5,2.1,1.0,1,0.670615298230361,0.6965998392238213,0.6478704622300666,0.024449878457418153,0.0,-15.082202734674182
LFR,0.05,Isomap,0.3,2.7,1.0,1,0.5835378585296165,0.5946411588947048,0.567187561621151,-0.012591237097091836,0.0,-9.834314155889302
LFR,0.05,Isomap,0.1,4.0,1.0,1,0.502334285432877,0.49596539299515596,0.49289128506364,-0.007428248422990554,0.0,-4.846562961650511
LFR,0.05,Isomap,0.1,2.1,1.0,1,0.6729480276892649,0.69858808180025,0.6519729897925893,-0.0642238580957378,0.0,-15.596274059352195
LFR,0.05,Isomap,0.5,2.1,1.0,1,0.665235740549548,0.702394443920624,0.6574079945330331,0.03691298090740244,0.0,-15.423210812830616
LFR,0.05,Isomap,0.3,2.7,1.0,1,0.5847283783288765,0.5959848672030543,0.5687906695306524,-0.016675655239992215,0.0,-9.687650668206476
LFR,0.05,Isomap,0.1,4.0,1.0,1,0.49575494927607605,0.48756699390458647,0.48605986004185064,-0.003458218141658219,0.0,-4.744672390782435
LFR,0.05,Isomap,0.1,2.1,1.0,1,0.6747610152730469,0.7027715784332386,0.6538122697946207,-0.06583358591699519,0.0,-15.180517159179796
LFR,0.05,Isomap,0.5,2.1,1.0,1,0.6735677154087196,0.7036109678989264,0.6559163991855415,0.037772451972520577,0.0,-15.558489338338749
LFR,0.05,Isomap,0.3,2.7,1.0,1,0.5856807941682846,0.5965074577824571,0.5696795413952138,-0.015660558224615265,0.0,-10.209876435710257
LFR,0.05,Isomap,0.1,4.0,1.0,1,0.5059588299024919,0.49781742955180536,0.4927098589547003,-0.0025445940442027524,0.0,-5.346236809664942
LFR,0.10,Isomap,0.1,2.1,1.0,1,0.6884906827495554,0.724082032523144,0.6831769908734371,-0.07200106464598927,0.0,-14.15884120566801
LFR,0.10,Isomap,0.5,2.1,1.0,1,0.6896736324876203,0.7233174968292923,0.6787100506169705,0.03405662667146923,0.0,-13.645797331429517
LFR,0.10,Isomap,0.3,2.7,1.0,1,0.5951202536540098,0.6126462167407994,0.5815612594044588,-0.0009415757309971726,0.0,-9.231607949597839
LFR,0.10,Isomap,0.1,4.0,1.0,1,0.4924212496101466,0.48136273506579186,0.4818126005435901,-0.006966707245392206,0.0,-4.671798822608507
LFR,0.10,Isomap,0.1,2.1,1.0,1,0.6868089383747004,0.7200271477186975,0.6806988755419551,-0.07313706704900383,0.0,-13.92280916819422
LFR,0.10,Isomap,0.5,2.1,1.0,1,0.685945356862895,0.721132194232691,0.6798446792891571,0.019872565546888852,0.0,-13.815766742499687
LFR,0.10,Isomap,0.3,2.7,1.0,1,0.5897649060397494,0.6073432491285653,0.5777606474957069,-0.008912828332331939,0.0,-8.992387628189139
LFR,0.10,Isomap,0.1,4.0,1.0,1,0.49458341130725886,0.48569577321890345,0.48472620024980695,-0.013406616850268817,0.0,-4.598049706308506
LFR,0.10,Isomap,0.1,2.1,1.0,1,0.6846439341220134,0.7174956648528649,0.6803787224871451,-0.05832086848373446,0.0,-14.207250863689877
LFR,0.10,Isomap,0.5,2.1,1.0,1,0.6914708525323595,0.7259781613986377,0.6827405782291815,0.04302131331609041,0.0,-14.025220057227854
LFR,0.10,Isomap,0.3,2.7,1.0,1,0.5874448998530662,0.6075180704129444,0.579287612657091,-0.009308975907576357,0.0,-8.936214244395336
LFR,0.10,Isomap,0.1,4.0,1.0,1,0.4885326346869607,0.47964777957530413,0.48039509850966805,-0.003747727710165073,0.0,-4.742351908654379
