,system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees,imbalance,coef_int,denominator,abs_dists,abs_degs,abs_int,norm_dists,norm_degs,old_norm_dists
0,arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6237136584521041,0.3296372319930731,-0.786592925872062,-0.3052200959930057,-9.992960833363052,0.5335799977575961,-1.4741799339888466,11.772360863344904,0.3052200959930057,9.992960833363052,1.4741799339888466,0.02592683825581294,0.8488493471583687,0.027535076491348447
1,arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6260882296089416,0.3292299299784929,-0.7866452322259896,-0.4060098742136654,-9.932666555828726,0.5335799977575961,-1.4742779630644256,11.812954393106818,0.4060098742136654,9.932666555828726,1.4742779630644256,0.03436988417144684,0.8408283165492206,0.036494214418145876
2,arxiv,6-7,0.05,HOPE,0.7929802955665025,0.5923190962812406,0.2896836142968222,-0.7549067006774959,-0.4015947706646318,-11.360976621309764,0.5335799977575961,-1.4147957266952271,13.177367118669622,0.4015947706646318,11.360976621309764,1.4147957266952271,0.030476100957652952,0.8621583142518352,0.032082722070061305
3,arxiv,6-7,0.05,HOPE,0.7937192118226601,0.5946971450617284,0.2879262026373618,-0.753153347231414,-0.6463898440394236,-11.143868055410104,0.5335799977575961,-1.4115097087533057,13.201767608202834,0.6463898440394236,11.143868055410104,1.4115097087533057,0.04896237104172273,0.8441193926551118,0.05153222128553443
4,arxiv,6-7,0.05,HOPE,0.7944328119226506,0.6054718717035753,0.288419238587553,-0.6782603073187278,-0.6542433302147401,-10.31353436107451,0.5335799977575961,-1.2711501746114169,12.238927865900667,0.6542433302147401,10.31353436107451,1.2711501746114169,0.053455934815789856,0.8426828292541402,0.05617733089080942
5,arxiv,6-7,0.05,HOPE,0.7943096440448331,0.6064943879931226,0.2919071601029926,-0.681842487969288,-0.5384912403058322,-10.373266265764151,0.5335799977575961,-1.2778636583732046,12.189621164443189,0.5384912403058322,10.373266265764151,1.2778636583732046,0.044176208024954644,0.8509916859453107,0.04644728475906464
6,arxiv,6-7,0.05,HOPE,0.7897783251231527,0.5967494370193172,0.2817725965955685,-0.7132313288552081,-0.0800096847176366,-10.79267803111374,0.5335799977575961,-1.3366905278545076,12.209378243685883,0.0800096847176366,10.79267803111374,1.3366905278545076,0.006553133429133777,0.8839662279031453,0.0069057693575314445
7,arxiv,6-7,0.05,HOPE,0.7900246305418719,0.5952463954907246,0.2805519078239787,-0.7137181528912212,-0.1826586028308151,-10.690244633936471,0.5335799977575961,-1.33760290095331,12.210506137720596,0.1826586028308151,10.690244633936471,1.33760290095331,0.014959134434775609,0.8754956193758631,0.015764613055695834
8,arxiv,6-7,0.05,HOPE,0.7966247844296624,0.6013510880125393,0.304821298745943,-0.8182686382787457,-0.6754241552473567,-10.518414787963357,0.5335799977575961,-1.5335444389174477,12.72738338212816,0.6754241552473567,10.518414787963357,1.5335444389174477,0.053068579374751124,0.8264396908741946,0.05622861356055275
9,arxiv,6-7,0.1,HOPE,0.8067500651550691,0.6417043838680309,0.3513324364720068,-0.6850747491247987,-0.7310866195625743,-8.762599849091307,0.5335799977575961,-1.2839213463845514,10.777607815038433,0.7310866195625743,8.762599849091307,1.2839213463845514,0.06783384885674347,0.8130375496559168,0.07182471461120687
