N,t1,mu,pfi,auroc
10000,4.0,0.1,0.0,0.46797251429332043
10000,4.0,0.1,0.049999999999999996,0.30870656746704184
10000,4.0,0.1,0.09999999999999999,0.2734674033582586
10000,4.0,0.1,0.15,0.28953274989004174
10000,4.0,0.1,0.19999999999999998,0.37810465751038647
10000,4.0,0.1,0.24999999999999997,0.5232192310355673
10000,4.0,0.1,0.3,0.6164371089746715
10000,4.0,0.1,0.35,0.6898060831260182
10000,4.0,0.1,0.39999999999999997,0.7405500667797218
10000,4.0,0.1,0.44999999999999996,0.7899510868324074
10000,4.0,0.1,0.49999999999999994,0.8385794918959965
10000,4.0,0.1,0.5499999999999999,0.8583310403866492
10000,4.0,0.1,0.6,0.8857629505309337
10000,4.0,0.1,0.6499999999999999,0.8992811781912748
10000,4.0,0.1,0.7,0.9228706331355915
10000,4.0,0.1,0.7499999999999999,0.9290652261026747
10000,4.0,0.1,0.7999999999999999,0.9386049290700412
10000,4.0,0.1,0.85,0.9495672662584327
10000,4.0,0.1,0.8999999999999999,0.9523661920648541
10000,4.0,0.1,0.95,0.9526978673540132
100,2.1,0.1,0.0,0.251073369048976
100,2.1,0.1,0.049999999999999996,0.8334248697366569
100,2.1,0.1,0.09999999999999999,0.7345150647410359
100,2.1,0.1,0.15,0.5445671695402299
100,2.1,0.1,0.19999999999999998,0.8564922289986229
100,2.1,0.1,0.24999999999999997,0.8718910256410257
100,2.1,0.1,0.3,0.8396458567378161
100,2.1,0.1,0.35,0.8881809540782986
100,2.1,0.1,0.39999999999999997,0.8802856147683734
100,2.1,0.1,0.44999999999999996,0.9110360360360361
100,2.1,0.1,0.49999999999999994,0.8936740262962044
100,2.1,0.1,0.5499999999999999,0.9077496505668583
100,2.1,0.1,0.6,0.9361623067776457
100,2.1,0.1,0.6499999999999999,0.9117092020129401
100,2.1,0.1,0.7,0.9441125713527148
100,2.1,0.1,0.7499999999999999,0.95324200913242
100,2.1,0.1,0.7999999999999999,0.9495252373813093
100,2.1,0.1,0.85,0.9324242424242424
100,2.1,0.1,0.8999999999999999,0.9104000000000001
