,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
0,1000,5.0,5.0,,,,,,,,
1,1000,5.0,5.0,0.1,0.0,9.340089886904257,0.5079207920792079,0.4890622748115402,0.48389833419199746,0.06610901397652924,0.06610989570617676
2,1000,5.0,5.0,0.2,0.0,9.901808880527566,0.4788218793828892,0.46476145416037873,0.46404655962055946,0.02485722489655018,0.02485823631286621
3,1000,5.0,5.0,0.30000000000000004,0.0,8.649112960269433,0.4864692773002229,0.46756492124308213,0.47573933550134984,0.025014194892719388,0.025014638900756836
4,1000,5.0,5.0,0.4,0.0,7.0521904115464205,0.47700296735905046,0.4554561049828204,0.4620423161237597,0.023603640031069517,0.023604154586791992
5,1000,5.0,5.0,0.5,0.0,5.765846190452742,0.46525540727105386,0.4540597258723438,0.4620855866897664,0.023239509901031852,0.023239850997924805
6,1000,5.0,5.0,0.6000000000000001,0.0,4.466969747717364,0.4543918918918919,0.4397347199800843,0.47560017215563405,0.02231016312725842,0.022310733795166016
7,1000,5.0,5.0,0.7000000000000001,0.0,3.7866252112476646,0.454477050413845,0.4321284703813964,0.44034010928058986,0.022618182003498077,0.022619247436523438
8,1000,5.0,5.0,0.8,0.0,3.1776785616761276,0.4576659038901602,0.4484181856274879,0.44125479470794776,0.022994404891505837,0.0229949951171875
9,1000,5.0,5.0,0.9,0.0,2.679795777064617,0.43080357142857145,0.4169285900182178,0.4042873375376992,0.02334705600515008,0.023348093032836914
10,1000,5.0,5.0,,,,,,,,
11,1000,5.0,5.0,0.1,0.0,9.281383001671232,0.4986711766127084,0.4895675130905212,0.4855402556569371,0.02839424693956971,0.02839493751525879
12,1000,5.0,5.0,0.2,0.0,10.09742254545758,0.4963205233033524,0.48217606077538555,0.47413190862401566,0.025299881119281054,0.02530074119567871
13,1000,5.0,5.0,0.30000000000000004,0.0,8.418176846817735,0.48151629072681706,0.4754097105132619,0.46793165163597694,0.025111145107075572,0.025111913681030273
14,1000,5.0,5.0,0.4,0.0,7.065671244153732,0.5048648648648648,0.49147557156995647,0.4707676325796968,0.0923169800080359,0.09231781959533691
15,1000,5.0,5.0,0.5,0.0,5.715115370642636,0.46080554352533565,0.4549363790932651,0.4609424787728751,0.023281583795323968,0.02328205108642578
16,1000,5.0,5.0,0.6000000000000001,0.0,4.698919003934333,0.48471849865951744,0.47654624822812536,0.4667508708871204,0.022535458905622363,0.022536039352416992
17,1000,5.0,5.0,0.7000000000000001,0.0,3.805816580655681,0.4650991917707568,0.45586208535310324,0.4561753212813674,0.023367960937321186,0.023368358612060547
18,1000,5.0,5.0,0.8,0.0,3.279235874461615,0.4592274678111588,0.44444905199622187,0.47062826185143447,0.021930004004389048,0.021930694580078125
19,1000,5.0,5.0,0.9,0.0,2.658375570581892,0.445916114790287,0.43486993486993486,0.4472173363459831,0.021077698096632957,0.021078109741210938
20,1000,5.0,5.0,,,,,,,,
21,1000,5.0,5.0,0.1,0.0,9.504873974984818,0.48470248132980004,0.47944992499082706,0.4633075435654028,0.025890612043440342,0.02589130401611328
22,1000,5.0,5.0,0.2,0.0,9.96929616366682,0.4906224517531938,0.498612096383263,0.48903898019278413,0.02530332701280713,0.02530384063720703
23,1000,5.0,5.0,0.30000000000000004,0.0,8.84472382507895,0.49644293226105785,0.4843270793198119,0.4762202108709359,0.02789901290088892,0.027899980545043945
24,1000,5.0,5.0,0.4,0.0,6.92042953759079,0.49201741654571846,0.49180928490002673,0.4784229098796269,0.026516479905694723,0.026517391204833984
25,1000,5.0,5.0,0.5,0.0,5.708411774806475,0.5004288164665524,0.48565247465010525,0.47409047604117166,0.024560926016420126,0.024561643600463867
26,1000,5.0,5.0,0.6000000000000001,0.0,4.801246868592861,0.487778958554729,0.4691589956599663,0.46763943034712047,0.02299770200625062,0.022998332977294922
27,1000,5.0,5.0,0.7000000000000001,0.0,3.7936509026528067,0.46906474820143884,0.47138379057487423,0.4507049262650963,0.02361961198039353,0.023620128631591797
28,1000,5.0,5.0,0.8,0.0,3.1274465302492707,0.4663625997719498,0.4637113144498923,0.45602929252760926,0.022894226014614105,0.022894859313964844
29,1000,5.0,5.0,0.9,0.0,2.6813090234334647,0.5302013422818792,0.526441248347422,0.5193955187469678,0.09123642602935433,0.09123706817626953
30,1000,5.0,5.0,,,,,,,,
31,1000,5.0,5.0,0.1,0.0,9.26385870427854,0.4990338164251208,0.49395076639418395,0.5000477275517308,0.025994851952418685,0.025995731353759766
32,1000,5.0,5.0,0.2,0.0,10.364308768629753,0.5017852238396046,0.49523848754193883,0.4886601040110597,0.025430876994505525,0.025431394577026367
33,1000,5.0,5.0,0.30000000000000004,0.0,8.690784075985517,0.47815072830905636,0.48006177792041077,0.4812284790478422,0.02486393484286964,0.024864912033081055
34,1000,5.0,5.0,0.4,0.0,6.985582933684273,0.483302752293578,0.4725744682455957,0.4814651444820529,0.02447907906025648,0.02447986602783203
35,1000,5.0,5.0,0.5,0.0,5.989178464667827,0.491025641025641,0.4761510274212778,0.47124109363961103,0.024316241033375263,0.024317026138305664
36,1000,5.0,5.0,0.6000000000000001,0.0,4.646374068489482,0.46448390677025525,0.45871098491202794,0.48465835827290177,0.023114101961255074,0.023114919662475586
37,1000,5.0,5.0,0.7000000000000001,0.0,3.776000817103909,0.45788336933045354,0.4645842836408874,0.46453088104430224,0.025675087003037333,0.025675535202026367
38,1000,5.0,5.0,0.8,0.0,3.19778725713673,0.4946004319654428,0.4842863347858374,0.49359659686900015,0.02227007388137281,0.022270917892456055
39,1000,5.0,5.0,0.9,0.0,2.670339630398231,0.47392290249433106,0.482303664921466,0.4269442439341301,0.024457038147374988,0.024457454681396484
40,1000,5.0,5.0,,,,,,,,
41,1000,5.0,5.0,0.1,0.0,9.358012044597778,0.4903728978796003,0.48121814075130764,0.4959989566902642,0.024582191836088896,0.024582862854003906
42,1000,5.0,5.0,0.2,0.0,9.931428506489102,0.49875311720698257,0.489635900456975,0.4923275285074348,0.024169693933799863,0.0241701602935791
43,1000,5.0,5.0,0.30000000000000004,0.0,9.038733555838716,0.4940513462742642,0.48026949215889825,0.48382154099781927,0.023615096928551793,0.023615598678588867
44,1000,5.0,5.0,0.4,0.0,6.926530396954664,0.46818510484454084,0.4590322712196183,0.46373559928276936,0.02280453499406576,0.022804975509643555
45,1000,5.0,5.0,0.5,0.0,5.460400582998807,0.47736441057821605,0.45413917752156097,0.4791699108008439,0.022417250089347363,0.022417545318603516
46,1000,5.0,5.0,0.6000000000000001,0.0,4.541919647497915,0.4714131607335491,0.46639104831952327,0.4795786998807246,0.021629864117130637,0.021630525588989258
47,1000,5.0,5.0,0.7000000000000001,0.0,3.803107088300825,0.4707142857142857,0.4572037176527265,0.45841468770440985,0.02280426979996264,0.022804737091064453
48,1000,5.0,5.0,0.8,0.0,3.1194893265437695,0.4646118721461187,0.4564905451661379,0.4824908137862949,0.020959932124242187,0.020960092544555664
49,1000,5.0,5.0,0.9,0.0,2.5970367485754977,0.43457943925233644,0.4292395104895105,0.4414851200986004,0.020637715002521873,0.020638227462768555
50,1000,5.0,5.0,,,,,,,,
51,1000,5.0,5.0,0.1,0.0,9.246253390307052,0.4914400805639476,0.48225636620541784,0.480697985440835,0.023549660807475448,0.02355027198791504
52,1000,5.0,5.0,0.2,0.0,10.091152212827652,0.484985835694051,0.4798749929360028,0.47633340719031825,0.02303195185959339,0.023032426834106445
53,1000,5.0,5.0,0.30000000000000004,0.0,8.658207459121188,0.4686500319897633,0.4490755655143591,0.45988582762402197,0.02286426699720323,0.022864580154418945
54,1000,5.0,5.0,0.4,0.0,6.955940887943178,0.46786922209695603,0.4409828147244255,0.46214260362742865,0.09033843991346657,0.09033894538879395
55,1000,5.0,5.0,0.5,0.0,5.650450259078521,0.4492223238792315,0.43635338525250955,0.4549248857437328,0.022047288017347455,0.022047758102416992
56,1000,5.0,5.0,0.6000000000000001,0.0,4.966575965381346,0.4546970539188438,0.42988327993037834,0.45840338353766896,0.021539584966376424,0.021539688110351562
57,1000,5.0,5.0,0.7000000000000001,0.0,3.7094167289506066,0.44229279628195195,0.40921163220709367,0.4206740476966462,0.020499634090811014,0.02049994468688965
58,1000,5.0,5.0,0.8,0.0,3.2597838412501376,0.4434782608695652,0.41491214371234814,0.42101142540767633,0.02048656390979886,0.020487308502197266
59,1000,5.0,5.0,0.9,0.0,2.5954020114574576,0.4219948849104859,0.3979468599033816,0.4142403357372688,0.020036027068272233,0.02003645896911621
60,1000,5.0,5.0,,,,,,,,
61,1000,5.0,5.0,0.1,0.0,9.64220360749896,0.4804804804804805,0.4730057730342061,0.47418323169005416,0.023951649898663163,0.023952245712280273
62,1000,5.0,5.0,0.2,0.0,10.054338647377588,0.4867605633802817,0.47514194874705173,0.4753630286822977,0.023361426079645753,0.023361921310424805
63,1000,5.0,5.0,0.30000000000000004,0.0,9.339190413682477,0.48283464566929135,0.4697172861823433,0.4604398833019008,0.02355298795737326,0.02355360984802246
64,1000,5.0,5.0,0.4,0.0,6.987831726715235,0.4786483475677683,0.4645873820425469,0.48046753877208775,0.022839937126263976,0.022840499877929688
65,1000,5.0,5.0,0.5,0.0,5.549454045161938,0.4642857142857143,0.4426446057989501,0.4484174600464658,0.02265096316114068,0.022651195526123047
66,1000,5.0,5.0,0.6000000000000001,0.0,4.514008923838318,0.44869565217391305,0.43232533314690724,0.4442505650125411,0.02105276007205248,0.021053552627563477
67,1000,5.0,5.0,0.7000000000000001,0.0,3.844960256684722,0.446048632218845,0.40826465947237217,0.43381361275748154,0.021049140952527523,0.02104949951171875
68,1000,5.0,5.0,0.8,0.0,3.204371970005538,0.4582881906825569,0.4520813370159518,0.45569464486938815,0.020252407994121313,0.02025294303894043
69,1000,5.0,5.0,0.9,0.0,2.568139103148915,0.4258373205741627,0.40942658054957526,0.4079917045732301,0.08931295899674296,0.08931326866149902
70,1000,5.0,5.0,,,,,,,,
71,1000,5.0,5.0,0.1,0.0,8.993337038827935,0.4814356435643564,0.47788137826228166,0.4834138295105099,0.023759051924571395,0.02375960350036621
72,1000,5.0,5.0,0.2,0.0,10.097076813798283,0.4754007739082366,0.46598591013378066,0.4775511148088215,0.023495529778301716,0.023495912551879883
73,1000,5.0,5.0,0.30000000000000004,0.0,8.540955807331576,0.49358151476251605,0.47699240321812014,0.4850720719123199,0.023150155087932944,0.02315044403076172
74,1000,5.0,5.0,0.4,0.0,6.853614633143465,0.47098214285714285,0.45019868224802373,0.4808153702561115,0.023253517923876643,0.023253917694091797
