,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
1,arxiv,2,6,0.1,0.7161096256684492,0.8861513613169568,0.9512711242577303,0.15079650100005892,0.15079927444458008
2,arxiv,2,6,0.2,0.7151700477326969,0.9380150938311937,0.9710044010907148,0.16407588399988526,0.1640777587890625
3,arxiv,2,6,0.30000000000000004,0.7154595510376959,0.9667971549215488,0.9846968762564201,0.3016578550000304,0.30166077613830566
4,arxiv,2,6,0.4,0.7073341326938449,0.9727911709584334,0.986512662176094,0.16527905499970075,0.1652815341949463
5,arxiv,2,6,0.5,0.7073696824445775,0.9743502068591007,0.986986575266566,0.1699330269998427,0.1699354648590088
6,arxiv,2,6,0.6000000000000001,0.7091124962897002,0.9818021159908082,0.9911818542764528,0.14958444500007317,0.14958739280700684
7,arxiv,2,6,0.7000000000000001,0.719116769444997,0.9848850399069036,0.9929209565325079,0.3071698019998621,0.307171106338501
8,arxiv,2,6,0.8,0.7165967645296585,0.9830347546790924,0.9917086856757549,0.1617637200001809,0.16176509857177734
9,arxiv,2,6,0.9,0.7122128174123338,0.9870320369234281,0.9930462772435382,0.1981788170000982,0.1981806755065918
10,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
11,celegans,1,2,0.1,0.6441658630665381,0.39917725524560643,0.31195330806068544,0.013615630000003875,0.01361989974975586
12,celegans,1,2,0.2,0.662839248434238,0.39863484556690476,0.27690106069500275,0.01649198100039939,0.016493797302246094
13,celegans,1,2,0.30000000000000004,0.6577017114914425,0.36763475836431225,0.2683309442426229,0.013519270999950095,0.013520002365112305
14,celegans,1,2,0.4,0.6477572559366754,0.3788797607878136,0.28462269882171315,0.012123019999762619,0.012123584747314453
15,celegans,1,2,0.5,0.64,0.3631004050925926,0.2814999772969352,0.014386714000011125,0.014389753341674805
16,celegans,1,2,0.6000000000000001,0.6443965517241379,0.37450086145738315,0.2857678465761612,0.011686553999879834,0.011687040328979492
17,celegans,1,2,0.7000000000000001,0.33994334277620397,0.6457260371959942,0.4821301841415707,0.012037559999953373,0.012038230895996094
18,celegans,1,2,0.8,0.325,0.6550332383665717,0.45301142362232494,0.01357408400008353,0.013574600219726562
19,celegans,1,2,0.9,0.408,0.6248012718600954,0.5199744910858715,0.008566238999719644,0.008566617965698242
20,drosophila,1,2,-inf,-inf,-inf,-inf,inf,inf
21,drosophila,1,2,0.1,0.930592816962354,0.868749468048469,0.9832478560495126,0.18219441700011885,0.18219661712646484
22,drosophila,1,2,0.2,0.93,0.9184968716046609,0.9913113016671462,0.3076317159998325,0.3076343536376953
23,drosophila,1,2,0.30000000000000004,0.9286595625350533,0.9296469110677087,0.9919977123115098,0.22199277999970946,0.22199511528015137
24,drosophila,1,2,0.4,0.9282974712344796,0.9453941186628778,0.9941872704795252,0.43022646000008535,0.43022871017456055
25,drosophila,1,2,0.5,0.9256387943991773,0.9496190996586944,0.994150440307868,0.3654365909997068,0.36543846130371094
26,drosophila,1,2,0.6000000000000001,0.9314962905867618,0.9597011062638239,0.9960428607814011,0.32116618500003824,0.3211681842803955
27,drosophila,1,2,0.7000000000000001,0.9320979655306466,0.9613059452415039,0.9963935989069241,0.46177946299985706,0.46178150177001953
28,drosophila,1,2,0.8,0.9265788454087563,0.9672678136120838,0.9970354110514532,0.35005172199998924,0.3500537872314453
29,drosophila,1,2,0.9,0.9330478785519657,0.97488988173201,0.9976524746610429,0.3421540429999368,0.34215545654296875
30,london,1,2,-inf,-inf,-inf,-inf,inf,inf
31,london,1,2,0.1,0.8121212121212121,0.7354959075589793,0.9308104123325542,0.009902299000259518,0.009903430938720703
32,london,1,2,0.2,0.788961038961039,0.7562203228869895,0.9311496122999164,0.01260306699987268,0.012603998184204102
33,london,1,2,0.30000000000000004,0.8091603053435115,0.8769811320754717,0.9676000079120256,0.015162714999860327,0.015164852142333984
34,london,1,2,0.4,0.7706422018348624,0.9189285714285714,0.9766059447331088,0.01455268400013665,0.014554500579833984
35,london,1,2,0.5,0.8031088082901554,0.9335314091680815,0.9824654674325107,0.010572250000222994,0.01057291030883789
36,london,1,2,0.6000000000000001,0.8129032258064516,0.9809797482211275,0.9954093395386783,0.007205052999779582,0.0072057247161865234
37,london,1,2,0.7000000000000001,0.8108108108108109,0.9806878306878307,0.9955042733205968,0.013124903999596427,0.013126134872436523
38,london,1,2,0.8,0.7926829268292683,0.9900452488687783,0.9973382281487653,0.008607947000200511,0.008608818054199219
39,london,1,2,0.9,0.868421052631579,1.0,0.9999999999999999,0.006228557000213186,0.006230831146240234
