,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
85,0.02,"(88, 87)",True,d_G,7.4997272,1,inverse,0.529678
86,0.02,"(88, 89)",True,d_G,8.1395235,1,inverse,0.5124918
87,0.02,"(89, 90)",False,d_G,8.816017,1,inverse,0.49088266
88,0.02,"(91, 90)",True,d_G,8.413308,1,inverse,0.51284516
89,0.02,"(92, 91)",True,d_G,8.085752,1,inverse,0.52114546
90,0.02,"(92, 93)",False,d_G,8.051791,1,inverse,0.49393514
91,0.02,"(93, 94)",True,d_G,8.416836,1,inverse,0.5020353
92,0.02,"(95, 94)",True,d_G,8.820271,1,inverse,0.50957656
93,0.02,"(96, 95)",True,d_G,8.915599,1,inverse,0.50107354
94,0.02,"(97, 96)",False,d_G,8.658071,1,inverse,0.4996448
95,0.02,"(98, 97)",True,d_G,8.620291,1,inverse,0.51286435
96,0.02,"(98, 99)",True,d_G,7.9189343,1,inverse,0.5174991
97,0.02,"(48, 65)",False,d_G,7.9786654,0,inverse,0.51516277
98,0.02,"(48, 43)",False,d_G,8.923667,0,inverse,0.5015465
99,0.02,"(65, 92)",False,d_G,7.7115445,0,inverse,0.5176444
100,0.02,"(92, 82)",True,d_G,9.074693,0,inverse,0.4914368
101,0.02,"(42, 82)",True,d_G,9.23959,0,inverse,0.49682346
102,0.02,"(28, 42)",False,d_G,8.980637,0,inverse,0.5057919
103,0.02,"(28, 77)",True,d_G,9.209776,0,inverse,0.49937642
104,0.02,"(77, 6)",True,d_G,9.336711,0,inverse,0.4845512
105,0.02,"(72, 6)",False,d_G,9.124832,0,inverse,0.5032243
106,0.02,"(95, 72)",False,d_G,8.563746,0,inverse,0.5209121
107,0.02,"(52, 95)",False,d_G,8.913067,0,inverse,0.50843066
108,0.02,"(55, 52)",True,d_G,9.133351,0,inverse,0.4873418
109,0.02,"(55, 85)",False,d_G,8.49941,0,inverse,0.5106987
110,0.02,"(90, 85)",True,d_G,8.928201,0,inverse,0.48373643
111,0.02,"(66, 90)",False,d_G,8.449952,0,inverse,0.5088834
112,0.02,"(66, 29)",False,d_G,7.9295206,0,inverse,0.52377355
113,0.02,"(29, 75)",False,d_G,8.432102,0,inverse,0.5044605
114,0.02,"(75, 41)",False,d_G,8.959156,0,inverse,0.5084885
115,0.02,"(47, 41)",False,d_G,8.442313,0,inverse,0.509204
116,0.02,"(51, 47)",True,d_G,8.3425045,0,inverse,0.4752184
117,0.02,"(70, 51)",True,d_G,8.949441,0,inverse,0.46965957
118,0.02,"(40, 70)",False,d_G,7.7533007,0,inverse,0.5017608
119,0.02,"(60, 40)",False,d_G,7.7006702,0,inverse,0.50219774
120,0.02,"(60, 38)",False,d_G,7.0493402,0,inverse,0.5124633
121,0.02,"(31, 38)",False,d_G,8.236263,0,inverse,0.5117679
122,0.02,"(31, 12)",False,d_G,7.983864,0,inverse,0.531002
123,0.02,"(88, 12)",False,d_G,7.3087907,0,inverse,0.51604325
124,0.02,"(88, 35)",False,d_G,7.394433,0,inverse,0.51272637
125,0.02,"(35, 13)",False,d_G,5.6702805,0,inverse,0.54268885
126,0.02,"(13, 34)",False,d_G,5.305224,0,inverse,0.5147005
127,0.02,"(34, 33)",True,d_G,6.7716312,1,inverse,0.509309
128,0.02,"(33, 53)",False,d_G,7.544432,0,inverse,0.5028731
129,0.02,"(53, 39)",True,d_G,8.539871,0,inverse,0.4922717
130,0.02,"(39, 69)",True,d_G,7.3312984,0,inverse,0.48836696
131,0.02,"(68, 69)",False,d_G,7.544469,1,inverse,0.49710754
132,0.02,"(68, 76)",True,d_G,8.160601,0,inverse,0.49699026
133,0.02,"(45, 76)",True,d_G,8.944136,0,inverse,0.4858354
134,0.02,"(45, 10)",False,d_G,8.45185,0,inverse,0.50007683
135,0.02,"(10, 99)",False,d_G,6.5764174,0,inverse,0.5008058
136,0.02,"(99, 9)",True,d_G,6.503492,0,inverse,0.46964243
137,0.02,"(16, 9)",True,d_G,8.772959,0,inverse,0.47227287
138,0.02,"(96, 16)",False,d_G,9.375667,0,inverse,0.5001
139,0.02,"(80, 96)",True,d_G,9.13539,0,inverse,0.49786416
140,0.02,"(21, 80)",True,d_G,9.071324,0,inverse,0.49458614
141,0.02,"(21, 11)",False,d_G,8.194238,0,inverse,0.5332194
142,0.02,"(11, 8)",True,d_G,8.335055,0,inverse,0.4970079
143,0.02,"(73, 8)",True,d_G,9.321967,0,inverse,0.47739336
144,0.02,"(58, 73)",True,d_G,9.1867485,0,inverse,0.48842153
145,0.02,"(58, 37)",True,d_G,8.657376,0,inverse,0.49648747
146,0.02,"(61, 37)",True,d_G,8.401331,0,inverse,0.49831858
147,0.02,"(0, 61)",True,d_G,9.284652,0,inverse,0.48467055
148,0.02,"(89, 0)",False,d_G,8.968324,0,inverse,0.5109052
149,0.02,"(89, 23)",True,d_G,8.720855,0,inverse,0.49968883
150,0.02,"(23, 27)",False,d_G,8.469729,0,inverse,0.5260007
151,0.02,"(94, 27)",False,d_G,8.8695,0,inverse,0.51929325
152,0.02,"(19, 94)",True,d_G,8.731425,0,inverse,0.4948598
153,0.02,"(57, 19)",True,d_G,7.417975,0,inverse,0.48504376
154,0.02,"(57, 20)",False,d_G,5.9243174,0,inverse,0.5207959
155,0.02,"(59, 91)",False,d_G,8.64692,0,inverse,0.5008542
156,0.02,"(91, 63)",True,d_G,8.809946,0,inverse,0.49847046
157,0.02,"(3, 63)",True,d_G,9.189011,0,inverse,0.49375364
158,0.02,"(54, 3)",True,d_G,9.223765,0,inverse,0.48981526
159,0.02,"(67, 54)",True,d_G,9.019325,0,inverse,0.48528734
160,0.02,"(93, 67)",False,d_G,8.523779,0,inverse,0.5026077
161,0.02,"(64, 93)",False,d_G,7.8756595,0,inverse,0.5130643
162,0.02,"(50, 64)",True,d_G,8.05961,0,inverse,0.47431996
163,0.02,"(84, 50)",True,d_G,8.630339,0,inverse,0.48815346
164,0.02,"(46, 84)",True,d_G,8.676988,0,inverse,0.48990062
165,0.02,"(46, 97)",False,d_G,8.979276,0,inverse,0.5067706
166,0.02,"(74, 97)",False,d_G,8.745681,0,inverse,0.5056662
167,0.02,"(24, 74)",False,d_G,9.165956,0,inverse,0.5045577
168,0.02,"(62, 24)",False,d_G,9.084674,0,inverse,0.50598735
169,0.02,"(62, 32)",False,d_G,8.786184,0,inverse,0.526714
170,0.02,"(32, 18)",False,d_G,8.463195,0,inverse,0.51556784
171,0.02,"(18, 78)",True,d_G,7.828323,0,inverse,0.47358727
172,0.02,"(78, 17)",False,d_G,7.083681,0,inverse,0.5091918
173,0.02,"(86, 17)",False,d_G,8.396423,0,inverse,0.50226283
