_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,arxiv,2,6,0.05,0.7062488200868416,0.4770799864734366,-0.8766799186052264,0.9024806676199744
1,arxiv,2,6,0.05,0.713889414286615,0.4645736767508198,-0.5184141880078927,0.8953010429690024
2,arxiv,2,6,0.05,0.7170882482810824,0.48167650917674204,-0.29157990499280645,0.8421161503687672
3,arxiv,2,6,0.14,0.7168196994991652,0.4906252930238883,-0.49525539615685027,0.9619541944982152
4,arxiv,2,6,0.14,0.7203224909646928,0.4684903373544418,-0.16877291050228735,1.0156752118683239
5,arxiv,2,6,0.14,0.7198245858276486,0.4641528981791849,-0.1824400087795518,1.0195252446251257
6,arxiv,2,6,0.22999999999999998,0.7188861232109521,0.5117451801055782,-0.3406148970975306,1.0234568418104724
7,arxiv,2,6,0.22999999999999998,0.7292938781900736,0.46968297450363733,-0.7032109600166516,0.9615630706135087
8,arxiv,2,6,0.22999999999999998,0.7187957187957188,0.36403806507631337,-0.4374451404672364,0.9770660786032149
9,arxiv,2,6,0.32,0.730782761653474,0.45691334905868536,-0.17929590524848996,1.125885782234449
10,arxiv,2,6,0.32,0.7333744384744121,0.32212263525353196,-0.3649741599325964,0.8068376936527291
11,arxiv,2,6,0.32,0.7266608391608391,0.35441645370038266,-0.34271921606449524,1.1655332216736625
12,arxiv,2,6,0.41,0.7414683544303797,0.41546886322752596,-0.2444277345890989,1.100492706785434
13,arxiv,2,6,0.41,0.7334073028041154,0.40534865837895656,-0.5207994270673842,1.1457221437986425
14,arxiv,2,6,0.41,0.7367310012062727,0.46812838760088615,-0.36495448020408106,1.0385864807767196
15,arxiv,2,6,0.5,0.7544796487480717,0.3742614414215915,-0.36301442204043904,1.0860257328489213
16,arxiv,2,6,0.5,0.7461510920157537,0.16614906310923083,-0.48074881939953207,1.1282091690066145
17,arxiv,2,6,0.5,0.7512497024517972,0.321828213231104,-0.5708565605162293,1.1151374055392362
18,arxiv,2,7,0.05,0.9050175363252452,0.5507776838995254,-0.7727206296978885,2.255862958004609
19,arxiv,2,7,0.05,0.9045954045954046,0.5082135062395132,-0.5269119629509189,2.2059406513168107
20,arxiv,2,7,0.05,0.9028215411057003,0.532000942967257,-0.5540803968231486,2.4285527470101913
21,arxiv,2,7,0.14,0.9048709244493566,0.5726886074713027,-0.5584883366464906,2.316468622656972
22,arxiv,2,7,0.14,0.9063242986210176,0.5236477730032058,-0.516383472444408,2.332882467015978
23,arxiv,2,7,0.14,0.9044540796216003,0.5096397054311312,-0.5021257646953737,2.6133778879233707
24,arxiv,2,7,0.22999999999999998,0.9070615439345429,0.45854267426036266,-0.7258586127478576,2.4765283250634704
25,arxiv,2,7,0.22999999999999998,0.9083902609914171,0.42175651035887235,-0.5102108832407745,2.673696655538409
26,arxiv,2,7,0.22999999999999998,0.9071285577508922,0.57790058359353,-0.27014336163795405,2.4370764995056136
27,arxiv,2,7,0.32,0.9109609460399484,0.40052194388710016,-0.9568431104775585,2.4014625594849965
28,arxiv,2,7,0.32,0.9098991109779243,0.5313658853769799,-0.2977820585679385,2.384881854500125
29,arxiv,2,7,0.32,0.9063568698451016,0.483481217802331,-0.4872420725089644,2.4259160002302322
30,arxiv,2,7,0.41,0.9140732265446224,0.5249065459493572,-0.32125019096739144,2.468351730202136
31,arxiv,2,7,0.41,0.9139503077273763,0.38690164039660013,-0.5720191780511398,2.545545072947876
32,arxiv,2,7,0.41,0.9148764148764149,0.35247464348356594,-0.8676475062959753,2.525593075918553
33,arxiv,2,7,0.5,0.9203017832647462,0.4001308225171612,-0.42583272618779755,2.4727824956646547
34,arxiv,2,7,0.5,0.9201961051341414,0.23071560550855838,-0.5501623435365791,2.333641517813596
35,arxiv,2,7,0.5,0.9190048375950242,0.2596180204837466,-0.5290691225532911,2.353549606966607
36,arxiv,6,7,0.05,0.7701176470588236,0.5180180250138009,-0.8176974347221477,1.1621723912029907
37,arxiv,6,7,0.05,0.7727218864794407,0.5289580264486207,-0.4629856689694662,1.1531531659277507
38,arxiv,6,7,0.05,0.7689500941619586,0.5476583114993536,-0.43060088950798614,1.1585785558097668
39,arxiv,6,7,0.14,0.7715584415584416,0.5855412644174969,-0.35318450014289604,1.1609998053932895
40,arxiv,6,7,0.14,0.7733000787608296,0.46764420884632923,-0.19171225737240755,1.292494115875376
41,arxiv,6,7,0.14,0.7706253284287966,0.551674298413454,-0.40550298912096916,1.2774134347778494
42,arxiv,6,7,0.22999999999999998,0.7731421121251629,0.4291772190583192,-0.33045317892352993,1.471174128370264
43,arxiv,6,7,0.22999999999999998,0.770594217637658,0.47212968575362724,-0.6211390758856216,1.285609486492251
44,arxiv,6,7,0.22999999999999998,0.7753021697975826,0.5166349802034337,-0.19216129910764962,1.3330667772177212
45,arxiv,6,7,0.32,0.7802653399668324,0.4996916765420322,-0.3511437390207065,1.2545083150901781
46,arxiv,6,7,0.32,0.7906899966985804,0.48495586804716495,-0.22289808450352766,1.2864776156539643
47,arxiv,6,7,0.32,0.7774812343619683,0.5002416725807242,-0.48447911035671454,1.2470778043497897
48,arxiv,6,7,0.41,0.7920091760657618,0.5081674509876672,-0.4207997739490382,1.2016814016535387
49,arxiv,6,7,0.41,0.7924780450553647,0.5159978157347074,-0.43096683344014713,1.3245871740845623
50,arxiv,6,7,0.41,0.7840366622111896,0.3362560937141835,-0.40819199031344583,1.5033429511864886
51,arxiv,6,7,0.5,0.7906566769501984,0.22504111730260798,-0.32052955096673696,1.0975891080666353
52,arxiv,6,7,0.5,0.7975501113585746,0.4129474100874299,-0.2134883547322578,1.1804803421818881
53,arxiv,6,7,0.5,0.7944407083613539,0.4275008276904183,-0.6513249253852331,1.2509225476365973
54,celegans,1,2,0.05,0.6578014184397163,0.46494909431169085,-0.006176493222135718,-0.5604428435784851
55,celegans,1,2,0.05,0.6613616268788682,0.535942670445819,0.12115533490554406,-0.22005786814598058
56,celegans,1,2,0.05,0.6584507042253521,0.46255306246209826,-0.08647044035438686,-0.48866233414906396
57,celegans,1,2,0.14,0.6589595375722543,0.5412288961575312,1.8245724544271131,-0.5326257560903769
58,celegans,1,2,0.14,0.6519114688128773,0.44338293013630203,-0.029326828700546616,-0.7695375081197332
59,celegans,1,2,0.14,0.6498054474708171,0.576417997338656,0.31731796942375046,-0.8695568256625769
60,celegans,1,2,0.22999999999999998,0.6612554112554112,0.4671438954628405,-0.04473735627501341,-0.583323368035342
61,celegans,1,2,0.22999999999999998,0.6718403547671841,0.4295669431808046,-0.028832548152820672,-0.4424601934167122
62,celegans,1,2,0.22999999999999998,0.6477024070021882,0.505954129595434,0.0850511951237634,-0.78826064212794
63,celegans,1,2,0.32,0.646551724137931,0.434186162269786,-0.14081133070478635,-0.7702367247953212
64,celegans,1,2,0.32,0.6629072681704261,0.5597852439547157,0.8492579702570491,-0.5704746064177192
65,celegans,1,2,0.32,0.6520650813516896,0.4226860354326903,-0.17877719056417868,-0.7207626390692632
66,celegans,1,2,0.41,0.6647727272727273,0.42084963059539326,-0.14417587402772306,-0.6124796927610535
67,celegans,1,2,0.41,0.6251768033946252,0.5807616433656403,3.230294831789486,-0.7259501928401761
68,celegans,1,2,0.41,0.6556195965417867,0.41250632212975313,-0.24405517127445908,-0.7037256649941016
