,N,p1,p2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
76,1000,0.004641588833612777,0.0001,0.225,0.0,7.81722866408744,0.8505182760501909,0.5196986503974858,0.9847277958072209,0.014920425999662257,0.014920949935913086,2320.0,41.0,4.64,0.082,4.7,3.688
77,1000,0.004641588833612777,0.0001,0.45,0.0,6.497771298469356,0.9705197827773467,0.5082514170911961,0.9844896142061678,0.014426060999539914,0.014426708221435547,2320.0,41.0,4.64,0.082,4.684,2.616
78,1000,0.004641588833612777,0.0001,0.675,0.0,5.023877666870366,0.9877551020408163,0.3431911966987621,0.9828497293085781,0.014171607000207587,0.014172077178955078,2320.0,41.0,4.64,0.082,4.656,1.536
79,1000,0.004641588833612777,0.0001,0.9,0.0,4.207380797647556,0.9954128440366973,0.3870967741935484,0.9956625499427061,0.014313993000541814,0.01431417465209961,2320.0,41.0,4.64,0.082,4.642,0.516
80,1000,0.004641588833612777,0.00021544346900318845,,,,,,,,,,,,,,
81,1000,0.004641588833612777,0.00021544346900318845,0.225,0.0,7.898604219003959,0.8316666666666667,0.5666983060747662,0.9608281618693977,0.014587392999601434,0.014588594436645508,2241.0,115.0,4.482,0.23,4.658,3.654
82,1000,0.004641588833612777,0.00021544346900318845,0.45,0.0,6.209717270461819,0.919442292796282,0.5123585776956823,0.9506508033876547,0.014766647999749694,0.014766693115234375,2241.0,115.0,4.482,0.23,4.624,2.67
83,1000,0.004641588833612777,0.00021544346900318845,0.675,0.0,4.197953501464381,0.9483443708609272,0.47305621277637266,0.9549858824541057,0.014110250999692653,0.014110803604125977,2241.0,115.0,4.482,0.23,4.55,1.672
84,1000,0.004641588833612777,0.00021544346900318845,0.9,0.0,3.444386325907986,0.9456066945606695,0.519640234948605,0.9593572255808347,0.014264790000197536,0.014265060424804688,2241.0,115.0,4.482,0.23,4.506,0.684
85,1000,0.004641588833612777,0.00046415888336127773,,,,,,,,,,,,,,
86,1000,0.004641588833612777,0.00046415888336127773,0.225,0.0,8.281534634643664,0.7931034482758621,0.5426751573305256,0.9143167150968945,0.01673187100004725,0.016732454299926758,2366.0,239.0,4.732,0.478,5.1,4.112
87,1000,0.004641588833612777,0.00046415888336127773,0.45,0.0,5.4578909022446105,0.8747361013370866,0.4993950617283951,0.9142010166954992,0.016622976999315142,0.016623497009277344,2366.0,239.0,4.732,0.478,4.982,3.07
88,1000,0.004641588833612777,0.00046415888336127773,0.675,0.0,3.6893694386906013,0.8863920099875156,0.5367822263986308,0.9073568277411864,0.01545896100014943,0.015459775924682617,2366.0,239.0,4.732,0.478,4.898,1.914
89,1000,0.004641588833612777,0.00046415888336127773,0.9,0.0,2.907971530069855,0.876984126984127,0.5478978978978978,0.8873689205494947,0.014217732000361138,0.01421809196472168,2366.0,239.0,4.732,0.478,4.792,0.922
90,1000,0.004641588833612777,0.001,,,,,,,,,,,,,,
91,1000,0.004641588833612777,0.001,0.225,0.0,7.86339864769267,0.7026773132926256,0.5267202481669486,0.8486258333601266,0.01724328699947364,0.017244338989257812,2307.0,469.0,4.614,0.938,5.326,4.484
92,1000,0.004641588833612777,0.001,0.45,0.0,5.066660522255693,0.7719869706840391,0.5032295719844357,0.8370565687914973,0.01648477099934098,0.016485214233398438,2307.0,469.0,4.614,0.938,5.114,3.508
93,1000,0.004641588833612777,0.001,0.675,0.0,3.3665755994121573,0.798087141339001,0.5187558575445174,0.8329965281202416,0.01671782199991867,0.016718149185180664,2307.0,469.0,4.614,0.938,4.944,2.49
94,1000,0.004641588833612777,0.001,0.9,0.0,2.4441551232055274,0.803088803088803,0.4988262910798122,0.8199727258439511,0.015211899999485468,0.015212059020996094,2307.0,469.0,4.614,0.938,4.706,1.364
95,1000,0.004641588833612777,0.002154434690031882,,,,,,,,,,,,,,
96,1000,0.004641588833612777,0.002154434690031882,0.225,0.0,9.25704829019057,0.5498466257668712,0.5058219189520479,0.6768340896373987,0.019767125999351265,0.01976776123046875,2239.0,1112.0,4.478,2.224,6.184,5.734
97,1000,0.004641588833612777,0.002154434690031882,0.45,0.0,5.417307175567719,0.5991471215351812,0.5272870888984633,0.6826245631616623,0.01983934700001555,0.01983952522277832,2239.0,1112.0,4.478,2.224,5.744,4.71
98,1000,0.004641588833612777,0.002154434690031882,0.675,0.0,3.220242051359834,0.6140350877192983,0.5210153966088482,0.698127309812433,0.018853196000236494,0.018853425979614258,2239.0,1112.0,4.478,2.224,5.178,3.69
99,1000,0.004641588833612777,0.002154434690031882,0.9,0.0,2.320872859902679,0.6115942028985507,0.45485870485870483,0.6514327413410167,0.017719446999763022,0.017719745635986328,2239.0,1112.0,4.478,2.224,4.7,2.692
100,1000,0.004641588833612777,0.004641588833612777,,,,,,,,,,,,,,
101,1000,0.004641588833612777,0.004641588833612777,0.225,0.0,9.981924371280858,0.5055370985603543,0.5024563733859257,0.4984897357209963,0.026474901000256068,0.02647566795349121,2292.0,2335.0,4.584,4.67,8.232,8.246
102,1000,0.004641588833612777,0.004641588833612777,0.45,0.0,6.0865928969025065,0.500998003992016,0.4996216091461564,0.49868783184177756,0.02536091900037718,0.025361299514770508,2292.0,2335.0,4.584,4.67,7.122,7.142
103,1000,0.004641588833612777,0.004641588833612777,0.675,0.0,3.799150278258641,0.5129461161651504,0.5056752619804545,0.4996177401215439,0.024606457999652775,0.024606943130493164,2292.0,2335.0,4.584,4.67,6.074,6.038
104,1000,0.004641588833612777,0.004641588833612777,0.9,0.0,2.72108296474653,0.49796747967479676,0.5165503209157679,0.5042927169013001,0.023066470000230765,0.02306675910949707,2292.0,2335.0,4.584,4.67,5.092,5.146
105,1000,0.01,0.0001,,,,,,,,,,,,,,
106,1000,0.01,0.0001,0.225,0.0,10.503103331161693,0.9726762002042901,0.39670509183018854,0.9881004225876724,0.027913738999814086,0.02791428565979004,4981.0,53.0,9.962,0.106,10.04,7.86
107,1000,0.01,0.0001,0.45,0.0,7.477153937170066,0.9893107261334316,0.4706048615036744,0.9896773823611682,0.027323866999722668,0.027324676513671875,4981.0,53.0,9.962,0.106,10.02,5.474
108,1000,0.01,0.0001,0.675,0.0,5.552828183274759,0.9904931669637552,0.489370875824835,0.9883751502408583,0.02655917800075258,0.02655935287475586,4981.0,53.0,9.962,0.106,9.994,3.44
109,1000,0.01,0.0001,0.9,0.0,4.623777560234704,0.9870410367170627,0.3905908096280087,0.9841027769002676,0.02495126200028608,0.024951696395874023,4981.0,53.0,9.962,0.106,9.974,1.02
110,1000,0.01,0.00021544346900318845,,,,,,,,,,,,,,
111,1000,0.01,0.00021544346900318845,0.225,0.0,10.188369808620553,0.9599183048251213,0.4528266970481083,0.9751170197652503,0.02952637200087338,0.02952718734741211,4944.0,108.0,9.888,0.216,10.05,7.888
112,1000,0.01,0.00021544346900318845,0.45,0.0,7.03328497568154,0.9770279971284996,0.4798544876497921,0.9751417012787353,0.027893271000721143,0.027893543243408203,4944.0,108.0,9.888,0.216,10.008,5.668
113,1000,0.01,0.00021544346900318845,0.675,0.0,4.83543545303116,0.9793689320388349,0.4768204679641373,0.9803990530612536,0.026270056999237568,0.026270389556884766,4944.0,108.0,9.888,0.216,9.956,3.444
114,1000,0.01,0.00021544346900318845,0.9,0.0,4.0162549692585126,0.9731663685152058,0.49301470588235297,0.9710131755588283,0.025719737999679637,0.02572011947631836,4944.0,108.0,9.888,0.216,9.918,1.304
115,1000,0.01,0.00046415888336127773,,,,,,,,,,,,,,
116,1000,0.01,0.00046415888336127773,0.225,0.0,10.10636626435797,0.9325842696629213,0.47147515043993193,0.9599010071720472,0.0288431959997979,0.028844118118286133,5064.0,210.0,10.128,0.42,10.446,8.29
117,1000,0.01,0.00046415888336127773,0.45,0.0,6.241766526717721,0.9575569358178054,0.5201208903287737,0.9599123105673192,0.028785628999685287,0.028786182403564453,5064.0,210.0,10.128,0.42,10.368,5.976
118,1000,0.01,0.00046415888336127773,0.675,0.0,4.1874094249120954,0.9618544600938967,0.505073450039893,0.963763784567798,0.026811209000698,0.02681136131286621,5064.0,210.0,10.128,0.42,10.258,3.698
119,1000,0.01,0.00046415888336127773,0.9,0.0,3.407203517003983,0.96,0.44124483471074377,0.9537525944850225,0.025739418000739533,0.02573990821838379,5064.0,210.0,10.128,0.42,10.172,1.476
120,1000,0.01,0.001,,,,,,,,,,,,,,
121,1000,0.01,0.001,0.225,0.0,9.658333918044942,0.8796017596665895,0.49644634387569525,0.9040034273527555,0.030293247000372503,0.030293703079223633,4993.0,504.0,9.986,1.008,10.772,8.86
122,1000,0.01,0.001,0.45,0.0,5.2356431593116834,0.905294311081881,0.503811903430909,0.9101112721732236,0.030889779999597522,0.030890226364135742,4993.0,504.0,9.986,1.008,10.54,6.536
123,1000,0.01,0.001,0.675,0.0,3.371868492128224,0.9140449438202247,0.4986120651907556,0.9130635777070456,0.027750563999688893,0.027750730514526367,4993.0,504.0,9.986,1.008,10.292,4.262
124,1000,0.01,0.001,0.9,0.0,2.600150159002426,0.9219330855018587,0.4589813748079878,0.9121238055967316,0.02722643499964761,0.027226924896240234,4993.0,504.0,9.986,1.008,10.07,2.0
125,1000,0.01,0.002154434690031882,,,,,,,,,,,,,,
126,1000,0.01,0.002154434690031882,0.225,0.0,9.187478634917833,0.7736090385845236,0.49327150537634407,0.8171469819346507,0.033071627999561315,0.033072710037231445,4985.0,1066.0,9.97,2.132,11.602,9.882
127,1000,0.01,0.002154434690031882,0.45,0.0,4.416413286270219,0.8185745140388769,0.48354811066017755,0.8186419373614874,0.0315725280006518,0.03157305717468262,4985.0,1066.0,9.97,2.132,11.074,7.51
128,1000,0.01,0.002154434690031882,0.675,0.0,2.8421760188580762,0.8353535353535354,0.49386474552637694,0.8215355194107098,0.030356233999555116,0.03035736083984375,4985.0,1066.0,9.97,2.132,10.62,5.442
129,1000,0.01,0.002154434690031882,0.9,0.0,2.0729653763954463,0.8344481605351171,0.4563166737515435,0.8126790293237122,0.029551870999966923,0.029552459716796875,4985.0,1066.0,9.97,2.132,10.168,3.13
130,1000,0.01,0.004641588833612777,,,,,,,,,,,,,,
131,1000,0.01,0.004641588833612777,0.225,0.0,9.0789437499704,0.6119060236707295,0.5108396220067264,0.6893674188017826,0.0736059060000116,0.07360696792602539,4971.0,2331.0,9.942,4.662,13.606,12.32
132,1000,0.01,0.004641588833612777,0.45,0.0,4.894182692713245,0.6422682987759181,0.5071892923212535,0.6914171266890752,0.03808874599963019,0.03808903694152832,4971.0,2331.0,9.942,4.662,12.452,10.158
133,1000,0.01,0.004641588833612777,0.675,0.0,2.7277480629419104,0.6636636636636637,0.5096966533411419,0.6859290830666545,0.03560617600032856,0.03560686111450195,4971.0,2331.0,9.942,4.662,11.424,7.842
134,1000,0.01,0.004641588833612777,0.9,0.0,1.8094651584662487,0.6620305980528511,0.4968206332637439,0.6561179889385031,0.04271349900045607,0.04271388053894043,4971.0,2331.0,9.942,4.662,10.422,5.62
135,1000,0.01,0.01,,,,,,,,,,,,,,
136,1000,0.01,0.01,0.225,0.0,11.620522634443883,0.5000641601437187,0.49968822410076125,0.5101656944211486,0.054500238000400714,0.05450105667114258,5095.0,4922.0,10.19,9.844,17.864,17.756
137,1000,0.01,0.01,0.45,0.0,6.116506349380351,0.5155449890270666,0.5199049447870557,0.5193851845241511,0.05124188799982221,0.05124258995056152,5095.0,4922.0,10.19,9.844,15.602,15.368
138,1000,0.01,0.01,0.675,0.0,3.9468858592903344,0.4856365285757484,0.48711602222075845,0.47895052691845097,0.050180546000774484,0.050180912017822266,5095.0,4922.0,10.19,9.844,13.574,13.074
139,1000,0.01,0.01,0.9,0.0,2.539234502313234,0.4959514170040486,0.49311356965454956,0.5200282337770428,0.04973921900000278,0.04974007606506348,5095.0,4922.0,10.19,9.844,11.136,10.874
140,1000,0.021544346900318822,0.0001,,,,,,,,,,,,,,
141,1000,0.021544346900318822,0.0001,0.225,0.0,13.611949649717596,0.9957127545551983,0.46568891280947255,0.9958785743810668,0.05820983099965815,0.05821108818054199,10786.0,49.0,21.572,0.098,21.644,16.82
142,1000,0.021544346900318822,0.0001,0.45,0.0,9.270477427078532,0.9955570182655916,0.4097887970615243,0.99505729827917,0.05442101999960869,0.054421424865722656,10786.0,49.0,21.572,0.098,21.626,12.198
143,1000,0.021544346900318822,0.0001,0.675,0.0,6.400427678213781,0.9956822107081175,0.4693649416979859,0.9955575183183084,0.052601488999243884,0.052602291107177734,10786.0,49.0,21.572,0.098,21.602,7.016
144,1000,0.021544346900318822,0.0001,0.9,0.0,5.372888492822425,0.9974003466204506,0.2893136403127715,0.9962549010910118,0.08777593899958447,0.08777666091918945,10786.0,49.0,21.572,0.098,21.578,2.4
145,1000,0.021544346900318822,0.00021544346900318845,,,,,,,,,,,,,,
146,1000,0.021544346900318822,0.00021544346900318845,0.225,0.0,12.979844306213762,0.9918758336364739,0.4794053479422017,0.9915971085238561,0.0577692870001556,0.057770729064941406,10598.0,88.0,21.196,0.176,21.328,16.538
147,1000,0.021544346900318822,0.00021544346900318845,0.45,0.0,8.404514496020216,0.9914602903501281,0.41923341946597764,0.9894226750859988,0.054411762000199815,0.0544123649597168,10598.0,88.0,21.196,0.176,21.296,11.786
148,1000,0.021544346900318822,0.00021544346900318845,0.675,0.0,5.737898906302769,0.9929865575686733,0.3882921326270355,0.9908916113041226,0.0531354270005977,0.05313611030578613,10598.0,88.0,21.196,0.176,21.244,6.972
149,1000,0.021544346900318822,0.00021544346900318845,0.9,0.0,4.889542890461483,0.9897674418604652,0.4527511961722488,0.9864829479054985,0.05036821500016231,0.050368547439575195,10598.0,88.0,21.196,0.176,21.218,2.304
